L1,L2,a,b,k,p,theta,cagr,sharpe,maxdd,time_in_market,turnover_yr,death_pass
12,26,0,12,1.0,-5.0,0.6,0.14036448095866816,0.5427624701802545,-0.6115838944803929,0.8574375678610207,2.7087947882736154,True
12,26,0,12,1.5,0.0,0.4,0.13001475802334328,0.5263840265890259,-0.588300746623908,0.7639522258414767,2.9550488599348532,True
12,26,0,12,1.5,0.0,0.5,0.14256500585818865,0.5527670875921836,-0.6115838944803941,0.8366992399565689,2.845602605863192,True
12,26,0,12,1.5,0.0,0.6,0.13944595550475092,0.5397401308774328,-0.6115838944803931,0.8527687296416938,2.790879478827361,True
12,26,0,12,1.5,-5.0,0.4,0.12751789687441484,0.5137926286108714,-0.5883007466239081,0.7750271444082519,2.790879478827361,True
12,26,0,12,1.5,-5.0,0.5,0.143149772674122,0.5544039227680181,-0.6115838944803937,0.8411509229098806,2.790879478827361,True
12,26,0,12,1.5,-5.0,0.6,0.14035454713199713,0.5426350143658744,-0.6115838944803931,0.8596091205211727,2.7087947882736154,True
12,26,3,18,0.5,0.0,0.4,0.12945046052631692,0.5275893263681761,-0.5883007466239079,0.7320304017372421,3.283387622149837,True
12,26,3,18,0.5,0.0,0.5,0.15036335477907103,0.5858518651241302,-0.588300746623908,0.8181324647122693,3.0097719869706836,True
12,26,3,18,0.5,0.0,0.6,0.14419907958045797,0.5620248806379046,-0.5883007466239079,0.8318132464712269,2.9550488599348532,True
12,26,3,18,0.5,-5.0,0.4,0.1310958140941978,0.5307041530467057,-0.588300746623908,0.7477741585233442,2.9550488599348532,True
12,26,3,18,0.5,-5.0,0.5,0.15018661988723592,0.5831389144347007,-0.5883007466239081,0.8272529858849077,3.0097719869706836,True
12,26,3,18,0.5,-5.0,0.6,0.14309352232830097,0.5565174933331826,-0.588300746623908,0.8409337676438654,2.927687296416938,True
12,26,3,18,1.0,0.0,0.4,0.12583757215735103,0.5116033326750771,-0.588300746623908,0.7499457111834962,3.0644951140065144,True
12,26,3,18,1.0,0.0,0.5,0.14714849522374363,0.57116151616361,-0.5883007466239079,0.8251900108577633,2.9550488599348532,True
12,26,3,18,1.0,0.0,0.6,0.1410014469986265,0.5476772483957171,-0.5883007466239081,0.8388707926167209,2.9003257328990224,True
12,26,3,18,1.0,-5.0,0.4,0.12545956314932094,0.5060447636094962,-0.5883007466239079,0.7679695982627579,2.845602605863192,True
12,26,3,18,1.0,-5.0,0.5,0.14899704050099594,0.5770102139901221,-0.5883007466239081,0.8320304017372421,2.9003257328990224,True
12,26,3,18,1.0,-5.0,0.6,0.14191127897127132,0.5505832703718775,-0.5883007466239081,0.8457111834961998,2.8182410423452766,True
12,26,3,18,1.5,0.0,0.4,0.13028620750207165,0.5263247450635895,-0.5883007466239081,0.7613463626492942,2.9003257328990224,True
12,26,3,18,1.5,0.0,0.5,0.1480149883728028,0.5737135125299274,-0.5883007466239081,0.8297502714440825,2.845602605863192,True
12,26,3,18,1.5,0.0,0.6,0.1418632970041036,0.550256506338861,-0.5883007466239081,0.8434310532030401,2.790879478827361,True
12,26,3,18,1.5,-5.0,0.4,0.1290282563484828,0.5182523669719779,-0.5883007466239079,0.7748099891422368,2.736156351791531,True
12,26,3,18,1.5,-5.0,0.5,0.1498649299399213,0.5795496670394058,-0.5883007466239081,0.8365906623235614,2.790879478827361,True
12,26,3,18,1.5,-5.0,0.6,0.14277381621399288,0.553156254631689,-0.5883007466239079,0.850271444082519,2.7087947882736154,True
12,26,6,24,0.5,0.0,0.4,0.126328384893845,0.5183723446221103,-0.5883007466239081,0.7272529858849077,3.119218241042345,True
12,26,6,24,0.5,0.0,0.5,0.14573118075882396,0.5703532460028089,-0.5883007466239081,0.8112920738327905,3.0097719869706836,True
12,26,6,24,0.5,0.0,0.6,0.14371532308163237,0.5605517467840058,-0.5883007466239082,0.8296416938110749,2.9550488599348532,True
12,26,6,24,0.5,-5.0,0.4,0.12790809555399263,0.5213290458897294,-0.588300746623908,0.7429967426710098,2.9003257328990224,True
12,26,6,24,0.5,-5.0,0.5,0.1475152853363486,0.5760445283425079,-0.5883007466239083,0.8181324647122693,3.0644951140065144,True
12,26,6,24,0.5,-5.0,0.6,0.14462731909292614,0.5634686285799095,-0.5883007466239079,0.8364820846905537,2.8729641693811074,True
12,26,6,24,1.0,0.0,0.4,0.12410478684016946,0.504868022513142,-0.5883007466239081,0.7477741585233442,3.0644951140065144,True
12,26,6,24,1.0,0.0,0.5,0.14625914469495527,0.5718056238260015,-0.5883007466239081,0.8136807817589576,3.119218241042345,True
12,26,6,24,1.0,0.0,0.6,0.14424235809117802,0.562011557465187,-0.5883007466239082,0.8320304017372421,3.0644951140065144,True
12,26,6,24,1.0,-5.0,0.4,0.12568137883475194,0.5080101475729202,-0.5883007466239079,0.7635179153094462,2.845602605863192,True
12,26,6,24,1.0,-5.0,0.5,0.14598915967896908,0.5688334785713647,-0.5883007466239079,0.8228013029315961,3.283387622149837,True
12,26,6,24,1.0,-5.0,0.6,0.14310503425530507,0.5563941787418256,-0.5883007466239081,0.8411509229098806,3.09185667752443,True
12,26,6,24,1.5,0.0,0.4,0.12573487823372953,0.5099936740314607,-0.5883007466239079,0.7545059717698154,2.9003257328990224,True
12,26,6,24,1.5,0.0,0.5,0.1499900881530909,0.5834370405576307,-0.5883007466239079,0.8229098805646037,3.0097719869706836,True
12,26,6,24,1.5,0.0,0.6,0.147966737137748,0.5736223136790186,-0.5883007466239081,0.8412595005428881,2.9550488599348532,True
12,26,6,24,1.5,-5.0,0.4,0.12640606257752118,0.5105410093915268,-0.588300746623908,0.7656894679695982,2.790879478827361,True
12,26,6,24,1.5,-5.0,0.5,0.1497511326979326,0.5805414982803948,-0.5883007466239079,0.8320304017372421,3.119218241042345,True
12,26,6,24,1.5,-5.0,0.6,0.1468575394691547,0.5681027004774956,-0.588300746623908,0.8503800217155266,2.927687296416938,True
12,52,0,12,0.5,0.0,0.4,0.12211079740548203,0.49899670434979043,-0.5883007466239081,0.7295331161780673,3.392833876221498,True
12,52,0,12,0.5,0.0,0.5,0.13590522199838828,0.5333715701566114,-0.588300746623908,0.8224755700325733,2.736156351791531,True
12,52,0,12,0.5,0.0,0.6,0.13867099028384255,0.5415759670913063,-0.5883007466239081,0.8343105320304017,2.9003257328990224,True
12,52,0,12,0.5,-5.0,0.4,0.12349604844732376,0.5009808528457239,-0.5883007466239081,0.7456026058631922,3.283387622149837,True
12,52,0,12,0.5,-5.0,0.5,0.1403050049922614,0.5485840073340071,-0.5883007466239081,0.8296416938110749,2.6814332247557,True
12,52,0,12,0.5,-5.0,0.6,0.14254457958573652,0.5548521090251393,-0.5883007466239079,0.8435396308360478,2.8729641693811074,True
12,52,0,12,1.0,0.0,0.4,0.12262067240341956,0.4988704520012072,-0.588300746623908,0.7498371335504886,3.1739413680781756,True
12,52,0,12,1.0,0.0,0.5,0.13190171560425124,0.516922702228631,-0.6115838944803937,0.8293159609120521,2.736156351791531,True
12,52,0,12,1.0,0.0,0.6,0.135857518009191,0.5289290279870407,-0.6115838944803943,0.8435396308360478,2.9003257328990224,True
12,52,0,12,1.0,-5.0,0.4,0.12599079706961058,0.5096182912667159,-0.5883007466239081,0.7636264929424539,3.0097719869706836,True
12,52,0,12,1.0,-5.0,0.5,0.13628599153027454,0.5320641967049341,-0.6115838944803937,0.8364820846905537,2.6814332247557,True
12,52,0,12,1.0,-5.0,0.6,0.13972153629698436,0.5421151670734276,-0.6115838944803935,0.8527687296416938,2.8729641693811074,True
