entity_id,ticker,signal_date,entry_date,entry_price,stop_price,target_price,reward_risk,exit_date,exit_price,exit_reason,exit_reason_name,holding_days,return_pct,r_multiple
11,XOM,2024-03-25,2024-03-26,105.8236,99.70454,123.37033000000001,2.8675531862737085,2024-12-19,99.70454,stop,止蝕,186,-0.057823207677682564,-1.0
11,XOM,2024-03-28,2024-04-01,107.4387,102.3072,126.56363,3.7269667738478023,2024-06-13,102.3072,stop,止蝕,52,-0.04776211923636453,-1.0
7,GOOGL,2024-04-01,2024-04-02,152.1508,144.7961,177.0303,3.3828028335622093,2024-05-20,177.0303,target,目標,34,0.16351869329638768,3.3828028335622093
11,XOM,2024-04-01,2024-04-02,108.8324,102.538,127.87423000000001,3.025201766649716,2024-06-13,102.538,stop,止蝕,51,-0.05783571803984855,-1.0
11,XOM,2024-04-02,2024-04-03,110.2721,103.424,130.71693,2.9854748032300975,2024-06-04,103.424,stop,止蝕,43,-0.06210183718275053,-1.0
11,XOM,2024-04-05,2024-04-08,111.7488,104.1254,133.28088,2.824472020358368,2024-06-04,104.1254,stop,止蝕,40,-0.06821907707286345,-1.0
7,GOOGL,2024-04-09,2024-04-10,154.837,147.5913,180.0733,3.4829347061015503,2024-06-25,180.0733,target,目標,52,0.16298623713970173,3.4829347061015503
11,XOM,2024-04-10,2024-04-11,113.2347,104.6699,133.61813999999998,2.3799084625443636,2024-06-04,104.6699,stop,止蝕,37,-0.07563759165697448,-1.0
6,AMZN,2024-04-11,2024-04-12,187.72,178.38,221.58,3.625267665952891,2024-04-19,178.38,stop,止蝕,5,-0.0497549541870872,-1.0
7,GOOGL,2024-04-11,2024-04-12,156.5716,148.2851,185.65370000000001,3.509575816086413,2024-07-05,185.65370000000001,target,目標,57,0.18574313604766135,3.509575816086413
10,JPM,2024-05-14,2024-05-15,192.7962,179.8643,212.0273,1.4871055297365412,2024-08-28,212.0273,target,目標,72,0.09974833528876603,1.4871055297365412
10,JPM,2024-05-15,2024-05-16,192.9967,179.8643,214.25099999999998,1.6184627333922164,2024-08-30,214.25099999999998,target,目標,73,0.11012778974977278,1.6184627333922164
7,GOOGL,2024-05-17,2024-05-20,174.6414,162.5586,217.6401,3.5586701757870705,2024-08-05,154.3102,stop,止蝕,52,-0.1164168404513477,-1.6826563379349164
10,JPM,2024-05-17,2024-05-20,195.0677,181.1623,219.5764,1.7625311030247226,2024-11-06,226.9063,target,目標,118,0.16321820578189006,2.289657255454712
7,GOOGL,2024-05-20,2024-05-21,175.3452,162.5586,217.2635,3.278299156929912,2024-08-05,154.3102,stop,止蝕,51,-0.11996336369629734,-1.6450815697683518
3,AAPL,2024-05-21,2024-05-22,190.4545,179.4932,218.33100000000002,2.543174623447952,2024-07-03,218.33100000000002,target,目標,28,0.14636829268933016,2.543174623447952
