列型,樣本,event_id,事件,規則,清單家數k,需挑家數,實挑家數,揀到,家數,相對籃子中位,相對大市超額中位,相對籃子勝率
彙總,十四宗,E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,c,0,0,0,,0,,,
彙總,十四宗,E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,d,0,0,0,,0,,,
彙總,十四宗,E10,2016-11 特朗普當選殺太陽能與醫院,a,0,0,0,,0,,,
彙總,十四宗,E10,2016-11 特朗普當選殺太陽能與醫院,b,0,0,0,,0,,,
彙總,十四宗,E10,2016-11 特朗普當選殺太陽能與醫院,c,0,0,0,,0,,,
彙總,十四宗,E10,2016-11 特朗普當選殺太陽能與醫院,d,0,0,0,,0,,,
彙總,十四宗,E11,2018-03 劍橋分析私隱風暴殺社交平台,a,0,0,0,,0,,,
彙總,十四宗,E11,2018-03 劍橋分析私隱風暴殺社交平台,b,0,0,0,,0,,,
彙總,十四宗,E11,2018-03 劍橋分析私隱風暴殺社交平台,c,0,0,0,,0,,,
彙總,十四宗,E11,2018-03 劍橋分析私隱風暴殺社交平台,d,0,0,0,,0,,,
彙總,十四宗,E12,2019-05 華為實體清單殺半導體,a,1,1,1,SWKS,1,0.1552,0.6122,1.0
逐家,十四宗,E12,2019-05 華為實體清單殺半導體,a,1,1,1,SWKS,1,0.1552,0.6122,1.0
彙總,十四宗,E12,2019-05 華為實體清單殺半導體,b,1,1,1,INTC,1,-0.1072,0.3499,0.0
逐家,十四宗,E12,2019-05 華為實體清單殺半導體,b,1,1,1,INTC,1,-0.1072,0.3499,0.0
彙總,十四宗,E12,2019-05 華為實體清單殺半導體,c,1,1,1,QCOM,1,-0.3235,0.1335,0.0
逐家,十四宗,E12,2019-05 華為實體清單殺半導體,c,1,1,1,QCOM,1,-0.3235,0.1335,0.0
彙總,十四宗,E12,2019-05 華為實體清單殺半導體,d,1,1,1,INTC,1,-0.1072,0.3499,0.0
逐家,十四宗,E12,2019-05 華為實體清單殺半導體,d,1,1,1,INTC,1,-0.1072,0.3499,0.0
彙總,十四宗,E13,2022-01 利率衝擊殺未獲利軟件股,a,1,1,1,MSFT,1,0.2256,-0.1318,1.0
逐家,十四宗,E13,2022-01 利率衝擊殺未獲利軟件股,a,1,1,1,MSFT,1,0.2256,-0.1318,1.0
彙總,十四宗,E13,2022-01 利率衝擊殺未獲利軟件股,b,1,1,1,MSFT,1,0.2256,-0.1318,1.0
逐家,十四宗,E13,2022-01 利率衝擊殺未獲利軟件股,b,1,1,1,MSFT,1,0.2256,-0.1318,1.0
彙總,十四宗,E13,2022-01 利率衝擊殺未獲利軟件股,c,1,1,1,MSFT,1,0.2256,-0.1318,1.0
逐家,十四宗,E13,2022-01 利率衝擊殺未獲利軟件股,c,1,1,1,MSFT,1,0.2256,-0.1318,1.0
彙總,十四宗,E13,2022-01 利率衝擊殺未獲利軟件股,d,1,1,1,MSFT,1,0.2256,-0.1318,1.0
逐家,十四宗,E13,2022-01 利率衝擊殺未獲利軟件股,d,1,1,1,MSFT,1,0.2256,-0.1318,1.0
彙總,十四宗,E14,2023-05 生成式 AI 殺教育科技,a,1,1,1,DUOL,1,0.58,0.5653,1.0
逐家,十四宗,E14,2023-05 生成式 AI 殺教育科技,a,1,1,1,DUOL,1,0.58,0.5653,1.0
彙總,十四宗,E14,2023-05 生成式 AI 殺教育科技,b,1,1,1,DUOL,1,0.58,0.5653,1.0
逐家,十四宗,E14,2023-05 生成式 AI 殺教育科技,b,1,1,1,DUOL,1,0.58,0.5653,1.0
彙總,十四宗,E14,2023-05 生成式 AI 殺教育科技,c,1,1,1,CHGG,1,-0.58,-0.5947,0.0
逐家,十四宗,E14,2023-05 生成式 AI 殺教育科技,c,1,1,1,CHGG,1,-0.58,-0.5947,0.0
彙總,十四宗,E14,2023-05 生成式 AI 殺教育科技,d,1,1,1,CHGG,1,-0.58,-0.5947,0.0
逐家,十四宗,E14,2023-05 生成式 AI 殺教育科技,d,1,1,1,CHGG,1,-0.58,-0.5947,0.0
