表,區塊,event_id,步〇可信程度,籃子家數,籃子中位_T,籃子中位_N,同SIC中位_T,同SIC中位_N,入卡家數,_ord,宗數,T錨中位,N錨中位,欄,家數,Spearman,p值,註,樣本,錨,損害級,中位,平均,勝率,判詞,事後,版本,測,全樣本,剔走後最低,剔走哪宗_最低,剔走後最高,剔走哪宗_最高,全負,全正
表五 三版方向,,,,,,,,,,,,,,適用度序數 vs 個股超額,44.0,-0.3707,0.0132,預期負號(敘事越適用越差),,T,,,,,,,v1(KARST-204)敘事適用度四級,,,,,,,,
表五 三版方向,,,,,,,,,,,,,,全真損害序數 vs 個股超額,50.0,-0.2559,0.0728,預期負號(損害越重越差),,T,,,,,,,v3(KARST-215)步五全真損害級,,,,,,,,
表五 三版方向,,,,,,,,,,,,,,不成立損害序數 vs 個股超額,50.0,-0.1094,0.4496,預期負號,,T,,,,,,,v3(KARST-215)步五不成立損害級,,,,,,,,
表五 三版方向,,,,,,,,,,,,,,便宜度序數 vs 個股超額,49.0,-0.1155,0.4292,預期正號;已剔模型不適用 3 家,,T,,,,,,,v3(KARST-215)q1 便宜度,,,,,,,,
表五 三版方向,,,,,,,,,,,,,,適用度序數 vs 個股超額,44.0,-0.348,0.0206,預期負號(敘事越適用越差),,N,,,,,,,v1(KARST-204)敘事適用度四級,,,,,,,,
表五 三版方向,,,,,,,,,,,,,,全真損害序數 vs 個股超額,50.0,-0.266,0.0619,預期負號(損害越重越差),,N,,,,,,,v3(KARST-215)步五全真損害級,,,,,,,,
表五 三版方向,,,,,,,,,,,,,,不成立損害序數 vs 個股超額,50.0,-0.0323,0.8238,預期負號,,N,,,,,,,v3(KARST-215)步五不成立損害級,,,,,,,,
表五 三版方向,,,,,,,,,,,,,,便宜度序數 vs 個股超額,49.0,-0.0899,0.5392,預期正號;已剔模型不適用 3 家,,N,,,,,,,v3(KARST-215)q1 便宜度,,,,,,,,
表五 三版方向,,,,,,,,,,,,,,,10.0,0.3,,照錄 210 評分表;方向判反(210 原判),,T,,,,,,,v2.1(KARST-210)損害四級,,,,,,,,
表五 三版方向,,,,,,,,,,,,,,,10.0,0.3,,照錄 210 評分表;方向判反(210 原判),,T,,,,,,,v2.1(KARST-210)步六現價對價值,,,,,,,,
表五 三版方向,,,,,,,,,,,,,,,10.0,,,照錄 210 表三:守住 +75.4% 對被推翻 −23.7%;210 判此步方向對,,T,,,,,,,v2.1(KARST-210)必要前提守住,,,,,,,,
穩健 逐宗剔走,,,,,,,,,,,,,,,,,,,,T,,,,,,,,表一 步〇可信程度 vs 籃子中位_T,-0.1073,-0.2849,E06,0.1572,E13,False,False
穩健 逐宗剔走,,,,,,,,,,,,,,,,,,,,N,,,,,,,,表一 步〇可信程度 vs 籃子中位_N,-0.0705,-0.2849,E06,0.2097,E13,False,False
穩健 逐宗剔走,,,,,,,,,,,,,,,,,,,,T,,,,,,,,表二 全真損害級 vs 相對籃中位,-0.3764,-0.4473,E05,-0.324,E06,True,False
穩健 逐宗剔走,,,,,,,,,,,,,,,,,,,,N,,,,,,,,表二 全真損害級 vs 相對籃中位,-0.3563,-0.4434,E05,-0.3111,E14,True,False
穩健 逐宗剔走,,,,,,,,,,,,,,,,,,,,T,,,,,,,,表三 q1 便宜度 vs 個股超額,-0.1155,-0.1997,E10,-0.0058,E13,True,False
穩健 逐宗剔走,,,,,,,,,,,,,,,,,,,,T,,,,,,,,表三 q1 便宜度 vs 相對籃中位,0.0835,0.017,E12,0.1343,E14,False,True
穩健 逐宗剔走,,,,,,,,,,,,,,,,,,,,T,,,,,,,,表四 前提守住 vs 個股超額,-0.2931,-0.4136,E05,-0.2143,E13,True,False
