arm,slice,layer,size,n_subindustries,members,top_terms
semantic,2019-06-30,9,9,3,AEP AES DUK ED ES NEE NRG VST XEL,ferc electricity solar natural gas transmission pjm generation facilities wind utilities coal
semantic,2019-06-30,10,3,1,CMS EXC LNT,megawatt electric opeb asset retirement gas transmission abbreviations registrants hour miso
semantic,2019-06-30,11,3,2,CVX FANG MUR,proved proved reserves barrels barrels day crude basin wells acreage gas liquids liquids
semantic,2019-06-30,12,4,4,APD CWEN MU PKG,graph performance graph income income income cumulative noncontrolling gaap diluted index repurchase
semantic,2019-06-30,13,8,2,ABBV INCY JNJ LLY MRK REGN VKTX VRTX,fda patients pharmaceutical nda drug exclusivity drugs clinical disease patent term
semantic,2019-06-30,14,5,3,ATO CNX EQT OKE WMB,natural gas gas gathering ngls gathering ferc pipelines pipeline bcf gas interstate
semantic,2019-06-30,15,4,1,EME FIX FLR PWR,piping remaining performance performance obligations projects industrial infrastructure construction installation fabrication industrial repair
semantic,2019-06-30,16,3,1,KDP KO MNST,drinks juice bottling beverages tea coffee concentrates drink ready drink cola
semantic,2019-06-30,17,4,3,CHRW JBHT ODFL R,truckload tractors trailers carriers freight motor carrier drivers motor intermodal carrier
semantic,2019-06-30,18,7,3,AKAM ANET CIEN CSCO PANW QLYS ZS,cloud networking cloud security software cloud environments channel partners traffic firewall threat enterprises
semantic,2019-06-30,19,10,3,CNC CVS EHC ELV HCA HSIC HUM THC UHS UNH,medicare medicaid cms physicians medicare advantage physician care managed care clinical hospital
semantic,2019-06-30,20,4,2,CBOE CME IBKR ICE,exchanges clearing futures options futures indexes trading equities cftc futures options clearing houses
semantic,2019-06-30,21,18,5,AXP BAC CFG FHN FITB GS HBAN JPM KEY NTRS RF RJF SCHW STT TFC USB WFC ZION,fdic banking depository bank institution federal reserve basel stress depository institutions insured depository
semantic,2019-06-30,22,4,1,AMP BEN KKR TROW,investment management managed accounts funds assets management mutual funds advisers investment advisory mutual management fees mutual fund
semantic,2019-06-30,23,10,6,ACGL BRO CB EG MET PFG PGR PRU UNM WRB,reinsurance insurer insurance coverages casualty underwriting premiums surplus property casualty insurers
semantic,2019-06-30,24,3,1,AJG AON WTW,reinsurance brokerage clients insurance reinsurance consulting marsh mclennan mclennan captives marsh insurance
semantic,2019-06-30,25,5,2,GD KTOS LDOS LMT NOC,missile dod aircraft navy army missions command command control tactical sustainment
semantic,2019-06-30,26,6,3,A BIO CRL IQV TECH TMO,clinical diagnostics reagents life science biotechnology life sciences sciences diagnostic pharmaceutical laboratory
semantic,2019-06-30,27,4,2,EW MDT TFX ZBH,surgical aortic catheters medical devices medical device fda therapies heart patients valve
