事件表,版本,年份段,進場格,期,表,格,樣本N,未成熟,無進場點,簇數,可信度,勝率,平均超額,中位超額,贏家數,輸家數,贏家平均,輸家平均,贏家中位,輸家中位,平均盈虧比(贏家平均/|輸家平均|),中位盈虧比(贏家中位/|輸家中位|)=原表賠率欄,驗算平均(p x 贏家平均 - (1-p) x |輸家平均|),驗算差(個百分點),最大單筆超額,剔走前三大贏家後平均,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,軸一 行業殺 vs 個別殺,行業殺,90,21,0,63,中,0.5444444444444444,0.0986356691566859,0.0203884324163595,49,41,0.32361080997642405,-0.1702370601156841,0.2581414805001369,-0.1570267617544252,1.9009421905930193,1.6439330316436471,0.09863566915668588,1.3877787807814457e-15,1.1680872414079937,0.06686413037254818,1,0.13158269455381635,5,0.5187936521972865,0.08661935935610943,0.050256116595492985
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,軸二 200 日線位置,線下 10% 內,88,13,0,80,中,0.4659090909090909,0.023239808822890874,-0.018952806517777553,41,47,0.3137076377091794,-0.2301470206311055,0.1997991073803731,-0.2015834902348565,1.3630749459581764,0.9911481696620864,0.02323980882289084,3.469446951953614e-15,2.4249454197243,-0.028515068150109995,1,1.1857325575015076,5,2.8550604489515825,-0.004366002796665533,-0.045708313452910806
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,軸二 200 日線位置,線下逾 10%,388,24,0,321,高,0.43556701030927836,0.02456001315910108,-0.0382258151822842,169,219,0.30372159471316146,-0.19086604749220576,0.1874064404043758,-0.166203915366,1.5912814180613464,1.127569347519193,0.0245600131591011,1.734723475976807e-15,3.5697477446936787,0.007258599052574169,4,0.8615401422548008,20,2.1895595818579556,0.003435998594148393,-0.030803403276573025
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,軸二 200 日線位置,線之上,59,14,0,53,中,0.5084745762711864,0.03216013605910793,0.0014174947085801,30,29,0.2746450608332476,-0.2186863378451745,0.16199790342143144,-0.2074408471501349,1.2558857747560377,0.7809354119354603,0.032160136059107905,2.7755575615628914e-15,1.3953069957386952,-0.018712922404943717,1,0.7353597966982968,3,1.5522805576206087,0.008657603995666764,-0.018712922404943717
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,軸二 250 日線位置(緩衝對照),線下 10% 內,100,11,0,94,高,0.44,-0.007135374246792506,-0.04358842217864685,44,56,0.2718795683197564,-0.22636140054908097,0.21264629636207738,-0.16374432259805943,1.2010862614397277,1.2986483622034142,-0.007135374246792531,2.5153490401663703e-15,1.1818514370842634,-0.036536077408796115,1,-1.6563271893068952,5,-5.747150972124645,-0.019145342038015278,-0.05067731293233598
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,軸二 250 日線位置(緩衝對照),線下逾 10%,356,20,0,296,高,0.4410112359550562,0.03059566961689705,-0.02766909332607725,157,199,0.3075074417724026,-0.18787241193292387,0.1769903022693049,-0.1681341912793901,1.6367887046778962,1.0526728735096986,0.03059566961689708,3.1225022567582528e-15,3.5697477446936787,0.01177714989553881,4,0.7537474879796934,18,1.798765268852897,0.007619877096696385,-0.025740230601035405
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,軸二 250 日線位置(緩衝對照),線之上,79,20,0,69,中,0.4936708860759494,0.04168753608477063,-0.0041785715958635,39,40,0.3125370541861942,-0.22239074406411738,0.1577009736962258,-0.21602267665287925,1.4053509983135215,0.7300204596095763,0.04168753608477063,0.0,2.4249454197243,-0.018364889872132455,1,0.7363234799883864,4,1.6306719916002375,0.011132947832981813,-0.027693356682555126
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,總表(三格進場),全部,492,94,0,399,高,0.4695121951219512,0.0516774554590902,-0.0248365002224366,231,261,0.43614895025148365,-0.2886019134950971,0.2647690878222981,-0.2708713296163376,1.5112476039036835,0.9774718062532394,0.051677455459090166,3.469446951953614e-15,3.600580356905249,0.03154065243111827,5,0.5830452033802187,25,1.6636804063183794,0.02176838636948707,-0.036133359317348526
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,軸一 行業殺 vs 個別殺,個別殺,412,63,0,352,高,0.44902912621359226,0.029747285046827183,-0.04239991393727955,185,227,0.43010156894103396,-0.2965326379506541,0.2564501644963666,-0.2808425901979591,1.450435850547443,0.913145560705736,0.02974728504682722,3.816391647148976e-15,3.600580356905249,0.005510886044589859,5,1.1614593068811574,21,2.848835745543829,-0.004861980644731885,-0.0579516923225363
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,軸一 行業殺 vs 個別殺,行業殺,80,31,0,57,中,0.575,0.16461783308224473,0.0949973575991459,46,34,0.46046994030437916,-0.23565266492417258,0.3095030952283072,-0.18872775491285915,1.9540196604716837,1.6399447732063226,0.16461783308224465,8.326672684688674e-15,2.4576013817173674,0.09207573093226509,1,0.18661415167650192,4,0.5563522296236586,0.1355927248716736,0.07687614169591855
