版本,年份切法,軸一格,進場格,期,2020年觸發佔比,樣本N,勝率,平均超額,中位超額,賠率,可信度
A(淨現金 N2),驗證年份 2022-2026,個別殺,觸發日即買,1m,0.0,253,0.525691699604743,0.010967257174159053,0.0086609067002596,0.9390902217101945,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,觸發日即買,3m,0.0,246,0.5121951219512195,0.014478749514783276,0.00365521243639295,0.7703402933054739,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,觸發日即買,6m,0.0,226,0.41150442477876104,-0.0055700505746892675,-0.05184209397350645,0.898833105142747,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,觸發日即買,12m,0.0,193,0.40414507772020725,0.003689772856717346,-0.1291100275603847,0.945831367911386,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,跌勢衰竭,1m,0.0,249,0.5381526104417671,0.010384276966232541,0.0072617973497051,0.831251497941987,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,跌勢衰竭,3m,0.0,239,0.4769874476987448,0.00623378598261534,-0.0092203448494426,1.0482984285051797,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,跌勢衰竭,6m,0.0,218,0.37155963302752293,-0.0233272316271449,-0.08148126548363044,1.1110256283134785,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,跌勢衰竭,12m,0.0,191,0.4083769633507853,0.042486403441052825,-0.101433910126316,1.1176787953082195,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,買方回來,1m,0.0,246,0.47560975609756095,0.0017259807057480498,-0.0059718100261885,1.0048632857609308,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,買方回來,3m,0.0,232,0.4956896551724138,0.004027916203394495,-0.00500775941099195,0.7391669085378121,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,買方回來,6m,0.0,212,0.4056603773584906,-0.02764423833825642,-0.09335627358158005,0.8542109084440611,高
A(淨現金 N2),驗證年份 2022-2026,個別殺,買方回來,12m,0.0,184,0.41304347826086957,0.018284818305886085,-0.1483834796496116,0.768070201826888,高
A(淨現金 N2),驗證年份 2022-2026,全部,觸發日即買,1m,0.0,326,0.5214723926380368,0.008592874176480261,0.0068678967187516,0.9678230865190781,高
A(淨現金 N2),驗證年份 2022-2026,全部,觸發日即買,3m,0.0,310,0.5225806451612903,0.021487608437640516,0.0090933891182227,0.8407818003895169,高
A(淨現金 N2),驗證年份 2022-2026,全部,觸發日即買,6m,0.0,282,0.43617021276595747,0.01382645301749175,-0.0262253966748348,0.9433089802008052,高
A(淨現金 N2),驗證年份 2022-2026,全部,觸發日即買,12m,0.0,239,0.4309623430962343,0.04040403740275071,-0.0885729250363874,1.0107957291651881,高
A(淨現金 N2),驗證年份 2022-2026,全部,跌勢衰竭,1m,0.0,318,0.5408805031446541,0.0124238426484105,0.01049051260053405,0.8657590066478306,高
A(淨現金 N2),驗證年份 2022-2026,全部,跌勢衰竭,3m,0.0,303,0.504950495049505,0.018496262068265754,0.0023690631078507,1.0958062857369035,高
A(淨現金 N2),驗證年份 2022-2026,全部,跌勢衰竭,6m,0.0,270,0.4111111111111111,0.0015153425923852776,-0.0614436128703211,1.1765226189551088,高
A(淨現金 N2),驗證年份 2022-2026,全部,跌勢衰竭,12m,0.0,237,0.43037974683544306,0.06925020912664782,-0.0723505839971009,1.1763275141467724,高
A(淨現金 N2),驗證年份 2022-2026,全部,買方回來,1m,0.0,314,0.49044585987261147,0.006230729425473376,-0.00457388613458635,1.1822307848349964,高
A(淨現金 N2),驗證年份 2022-2026,全部,買方回來,3m,0.0,293,0.5290102389078498,0.024277079018651296,0.0112273997640921,0.8230832193412445,高
A(淨現金 N2),驗證年份 2022-2026,全部,買方回來,6m,0.0,260,0.4307692307692308,-0.00629524704859517,-0.057503034173712705,0.9306186430756094,高
A(淨現金 N2),驗證年份 2022-2026,全部,買方回來,12m,0.0,230,0.4217391304347826,0.04227810810932326,-0.0928888935387535,0.9179048237120606,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,觸發日即買,1m,0.2028169014084507,694,0.5144092219020173,0.006475742438045511,0.0031601659426603,1.1313203368263935,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,觸發日即買,3m,0.2028169014084507,651,0.5253456221198156,0.04113910512042266,0.0106134152284833,1.279674734896307,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,觸發日即買,6m,0.2028169014084507,581,0.47332185886402756,0.04284743098858848,-0.0217446870511073,1.3000918268893096,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,觸發日即買,12m,0.2028169014084507,529,0.5406427221172023,0.10853392405500165,0.0453408906726509,1.2892619123667706,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,跌勢衰竭,1m,0.2028169014084507,677,0.5361890694239291,0.022949523646662622,0.0067965761591466,1.2261168134262224,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,跌勢衰竭,3m,0.2028169014084507,636,0.4937106918238994,0.029672906395440252,-0.0045671054907325,1.1182005317253292,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,跌勢衰竭,6m,0.2028169014084507,563,0.5044404973357016,0.052469878258606835,0.0037814676309586,1.0714568325619498,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,跌勢衰竭,12m,0.2028169014084507,529,0.5141776937618148,0.11711956066216798,0.0152865697223512,1.5548582464523948,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,買方回來,1m,0.2028169014084507,671,0.46646795827123694,0.006388875312994388,-0.0067080879601448,1.1625415799049335,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,買方回來,3m,0.2028169014084507,629,0.48012718600953896,0.022418861110140485,-0.0087736379620426,1.2012011467835029,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,買方回來,6m,0.2028169014084507,548,0.46167883211678834,0.023487230318141365,-0.0213988308450263,1.1430318026050155,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,行業殺,買方回來,12m,0.2028169014084507,525,0.49333333333333335,0.07585118197679501,-0.0090392766591035,1.4600074657411302,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,觸發日即買,1m,0.09151873767258382,2517,0.4942391736193882,0.0034338766805174317,-0.0015539014555955,1.014704861063539,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,觸發日即買,3m,0.09151873767258382,2452,0.4857259380097879,0.008830534996122866,-0.0067514750687227496,0.9658053268475859,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,觸發日即買,6m,0.09151873767258382,2324,0.4401893287435456,-0.00010269943135141074,-0.04007222665979445,0.9818399188432887,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,觸發日即買,12m,0.09151873767258382,2154,0.43129062209842156,0.00012862268206965944,-0.07091731854433869,0.9748043176704175,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,跌勢衰竭,1m,0.09151873767258382,2484,0.499194847020934,0.004236128924396767,-0.0001742421461735,0.9949974103092077,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,跌勢衰竭,3m,0.09151873767258382,2415,0.4836438923395445,0.007419343670639658,-0.006623854886029,0.9015562153872381,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,跌勢衰竭,6m,0.09151873767258382,2301,0.4324206866579748,-0.004774978032548291,-0.0443549147637739,0.9622001531216509,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,跌勢衰竭,12m,0.09151873767258382,2134,0.4259606373008435,0.011904820661535422,-0.0697441580573865,0.960027629857889,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,買方回來,1m,0.09151873767258382,2465,0.4795131845841785,-0.0024649322569910413,-0.0058209826150661,0.9088011588033045,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,買方回來,3m,0.09151873767258382,2373,0.4584913611462284,-0.0039286047304620255,-0.0192146675563342,0.9180772918489601,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,買方回來,6m,0.09151873767258382,2269,0.43278977523137946,-0.010482630828282047,-0.0504782507127983,0.8908176248964037,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,個別殺,買方回來,12m,0.09151873767258382,2097,0.4177396280400572,0.003501136109101189,-0.0743375757175622,0.9707369975553857,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,觸發日即買,1m,0.11572791628193291,3215,0.49860031104199065,0.004026507388509379,-0.0006538823672215,1.039924667274914,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,觸發日即買,3m,0.11572791628193291,3107,0.4943675571290634,0.015605871574103286,-0.0025904360194133,1.0411598211337565,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,觸發日即買,6m,0.11572791628193291,2908,0.4470426409903714,0.008592115146187204,-0.0368856648887298,1.0421085495832276,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,觸發日即買,12m,0.11572791628193291,2686,0.45346239761727475,0.021870070903349404,-0.05100838072207575,1.0254690791219299,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,跌勢衰竭,1m,0.11572791628193291,3165,0.5077409162717219,0.008292153460208514,0.0021228769672949,1.0219394856590465,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,跌勢衰竭,3m,0.11572791628193291,3055,0.48641571194762684,0.012201570685996777,-0.0057435687462218,0.9301443853385729,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,跌勢衰竭,6m,0.11572791628193291,2867,0.44680851063829785,0.006588285586891954,-0.0358746011984212,0.9783076136120096,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,跌勢衰竭,12m,0.11572791628193291,2666,0.4441110277569392,0.033113059387248976,-0.04963055335336995,1.0345284172961169,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,買方回來,1m,0.11572791628193291,3140,0.4767515923566879,-0.0006134817565246076,-0.0062351607278011995,0.9588074494544183,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,買方回來,3m,0.11572791628193291,3006,0.4637391882900865,0.0016886988236927774,-0.0155229668010899,0.9793117457390474,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,買方回來,6m,0.11572791628193291,2820,0.43829787234042555,-0.0037786736709537094,-0.040126854615305296,0.9407609005091913,高
"A2(N2,缺債務標籤當零負債)",全期 2010-2026,全部,買方回來,12m,0.11572791628193291,2625,0.43352380952380953,0.018265857774082177,-0.0595890172459668,1.0481845782506056,高
"A2(N2,缺債務標籤當零負債)",全期 剔走 2020 年觸發,行業殺,觸發日即買,1m,0.0,550,0.5254545454545455,0.00884632268505638,0.004966360057937101,1.1399186603292808,高
"A2(N2,缺債務標籤當零負債)",全期 剔走 2020 年觸發,行業殺,觸發日即買,3m,0.0,507,0.49506903353057197,0.02814560055642347,-0.0029615892740905,1.3379418315878644,高
"A2(N2,缺債務標籤當零負債)",全期 剔走 2020 年觸發,行業殺,觸發日即買,6m,0.0,437,0.459954233409611,0.026483743456062338,-0.0309099664830035,1.2351084993804522,高
"A2(N2,缺債務標籤當零負債)",全期 剔走 2020 年觸發,行業殺,觸發日即買,12m,0.0,385,0.44155844155844154,0.037360140586889544,-0.0564075421262638,1.121548384470501,高
"A2(N2,缺債務標籤當零負債)",全期 剔走 2020 年觸發,行業殺,跌勢衰竭,1m,0.0,533,0.5234521575984991,0.01352479756641721,0.0051604909695568,1.0853994257501218,高
"A2(N2,缺債務標籤當零負債)",全期 剔走 2020 年觸發,行業殺,跌勢衰竭,3m,0.0,492,0.491869918699187,0.02061655626534458,-0.0049342308476794505,1.0248061870997385,高
