事件表,版本,年份段,進場格,期,口徑,樣本N,未成熟,無進場點,簇數,可信度,勝率,平均超額,中位超額,贏家數,輸家數,贏家平均,輸家平均,贏家中位,輸家中位,平均盈虧比(贏家平均/|輸家平均|),中位盈虧比(贏家中位/|輸家中位|)=原表賠率欄,驗算平均(p x 贏家平均 - (1-p) x |輸家平均|),驗算差(個百分點),最大單筆超額,剔走前三大贏家後平均,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,3m,同公司單注(365 曆日),215,0,0,182,高,0.3953488372093023,-0.014398992782944754,-0.0402586916058472,85,130,0.17959476130029894,-0.14124106276045026,0.1321132113935352,-0.1300851006851535,1.2715477906371881,1.0155906456442723,-0.014398992782944764,1.0408340855860843e-15,1.4945570917341993,-0.028735687957809612,3,-0.9678268679728769,11,-1.9423303524149735,-0.028735687957809612,-0.04465106668889428
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,6m,正本(120 日冷卻),252,0,1,208,高,0.4444444444444444,-0.001175555285037443,-0.051260506386079596,112,140,0.24827437493708013,-0.2007354994627315,0.18570116994365743,-0.1778510431174127,1.2368234597347574,1.0441387730352656,-0.0011755552850374468,3.686287386450715e-16,1.8745145258363929,-0.021051304010849176,3,-16.694355606723093,13,-35.54941839063923,-0.021051304010849176,-0.04530291720689745
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,6m,同公司單注(365 曆日),215,0,0,182,高,0.42790697674418604,-0.01589898450555507,-0.0622143918171191,92,123,0.23038563282380142,-0.20011186901206557,0.1759332973776162,-0.1753113639332885,1.151284198989269,1.0035475934381777,-0.015898984505555033,3.816391647148976e-15,1.628229807121687,-0.03451572032782627,3,-1.1406465056737487,11,-2.324420632488378,-0.03451572032782627,-0.055704931897373855
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,12m,正本(120 日冷卻),252,0,1,208,高,0.44841269841269843,0.025452131623882945,-0.04433722141645155,113,139,0.38193395402410946,-0.26434963766550984,0.2418131794163545,-0.2076869757179829,1.4448060432274277,1.1643155695266678,0.025452131623882934,1.0408340855860843e-15,4.318216874517566,-0.0073129585015015,3,1.2839015442204191,13,2.900661675573659,-0.0073129585015015,-0.05100721576180338
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,12m,同公司單注(365 曆日),215,0,0,182,高,0.4418604651162791,0.008698288926646293,-0.0447669510536521,95,120,0.3559687325586188,-0.26622414561533186,0.2314719283006359,-0.20922529596782663,1.3371016056258065,1.1063285977438895,0.008698288926646314,2.0816681711721685e-15,4.318216874517566,-0.02747757977384498,3,4.114885227711536,11,7.579913216934887,-0.02747757977384498,-0.06032013259180901
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,觸發日即買,1m,正本(120 日冷卻),326,7,0,252,高,0.5214723926380368,0.008592874176480261,0.0068678967187516,170,156,0.10350348935481633,-0.0948353603127321,0.07021318930676075,-0.07254754539829494,1.0914018675470831,0.9678230865190781,0.008592874176480275,1.3877787807814457e-15,0.7225226504839646,0.0035774750802404455,4,0.7284432886664005,17,2.0131675007153342,0.0023624396417375646,-0.009184992874403703
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,觸發日即買,1m,同公司單注(365 曆日),243,6,0,199,高,0.51440329218107,0.008833555937716044,0.0057632114549774,125,118,0.10336475043280471,-0.09130542128165754,0.0642418100399655,-0.0706172281330662,1.132076814080368,0.9097186584400154,0.008833555937716044,0.0,0.7225226504839646,0.002086673176042068,3,0.766695111986822,13,2.1117168331491105,0.002086673176042068,-0.010375479644796246
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,觸發日即買,3m,正本(120 日冷卻),310,23,0,238,高,0.5225806451612903,0.021487608437640516,0.0090933891182227,162,148,0.18452132390847137,-0.15696821525340407,0.12719422834169844,-0.15128090104087882,1.1755330441298992,0.8407818003895169,0.021487608437640512,3.469446951953614e-16,1.5379776085719985,0.012330997768507644,4,0.5167215714334041,16,1.4353780607048872,0.01052024270657889,-0.0098643616331205
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,觸發日即買,3m,同公司單注(365 曆日),227,22,0,185,高,0.5110132158590308,0.022311902788002623,0.0033299123581691,116,111,0.1863728368996768,-0.14913916349086404,0.12989788005340414,-0.1427646798668348,1.2496572498952874,0.9098740681138199,0.022311902788002644,2.0816681711721685e-15,1.5379776085719985,0.009773480500624479,3,0.5677501981017306,12,1.464721919711142,0.009773480500624479,-0.01094755570792147
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,觸發日即買,6m,正本(120 日冷卻),282,51,0,220,高,0.43617021276595747,0.01382645301749175,-0.0262253966748348,123,159,0.3041661522408781,-0.21077595581569383,0.1719474954843034,-0.182281202758931,1.4430780354607728,0.9433089802008052,0.013826453017491816,6.591949208711867e-15,2.4249454197243,-0.004972973708497529,3,1.3558446787943996,15,3.9898446456621848,-0.004972973708497529,-0.04366135924885014
