池,主成因,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
不過三閘,重大合約或舉債(8-K 1.01/2.03),3m,184,14,0,158,-0.16718068269569053,0.19021739130434784,0.0,0.05434782608695652,1.1847542667828423,高,0.43478260869565216,-0.0276318936455196,-0.006763220779224332,-0.16808158697801187,0.08867030267121256,1.2078182306776277,0.7362574731114643,2.0,-1.7882340987357896,10.0,-5.911884803116936,-0.019064667439998653,-0.049433189298990474,167.0,0.17391304347826086,,,,
不過三閘,重大合約或舉債(8-K 1.01/2.03),12m,167,31,0,143,-0.2784688900024722,0.4311377245508982,0.029940119760479042,0.23952095808383234,2.218453422361524,高,0.4431137724550898,-0.0652270238714834,0.03373240799461872,-0.29037099847913933,0.24160842776327435,1.50394105524286,1.1965277973822543,2.0,0.7774121085040825,9.0,2.315336779858168,0.007599436789639773,-0.04689685217544382,150.0,0.19161676646706588,0.37124075378654453,0.5272896668548841,-0.04502039837030742,0.12692220820869465
不過三閘,內部人擬售(Form 144),3m,392,60,2,303,-0.15003454310946873,0.15816326530612246,0.00510204081632653,0.03571428571428571,2.005349016365627,高,0.4719387755102041,-0.008578442658806,0.030060412572547844,-0.17595958569034992,0.1753100753261622,1.4417404437669048,1.143995389006848,4.0,0.5574493924661209,20.0,1.7285444194144246,0.013440400793573322,-0.023077783772606934,236.0,0.002551020408163265,,,,
不過三閘,內部人擬售(Form 144),12m,266,186,2,211,-0.3088199197301326,0.45112781954887216,0.03759398496240601,0.20676691729323307,9.355625301048798,高,0.40977443609022557,-0.1187332943567338,0.16161700605795057,-0.35232017169697366,0.25614274952870336,2.572197466091819,1.1221957386186254,3.0,0.5968011759406983,14.0,1.3777334812597228,0.06590709994785737,-0.06443971845843467,164.0,0.0037593984962406013,0.3346605794719953,0.481484885620915,-0.016511750029177118,0.36799086157425415
不過三閘,定期報告(10-K/10-Q),3m,92,1,0,85,-0.14281262485913604,0.15217391304347827,0.0,0.05434782608695652,1.0065005252841233,中,0.4891304347826087,-0.0284252499071315,0.01993321941961058,-0.14764217429146975,0.1662374401168329,1.2695116306471184,1.147459244842433,1.0,0.5488437602884779,5.0,2.2356534077894916,0.009091820454066488,-0.02604609938360104,84.0,0.14130434782608695,,,,
不過三閘,定期報告(10-K/10-Q),12m,84,9,0,78,-0.32306328883804675,0.4880952380952381,0.023809523809523808,0.21428571428571427,4.011141292429923,中,0.5,5.685559234170018e-05,0.10468305810293962,-0.3036680207171365,0.31303454768666916,1.6406973265817646,1.0285126063887884,1.0,0.4561548250317714,5.0,1.1407448643926041,0.05761729624357839,-0.015666109324300112,76.0,0.15476190476190477,0.39759036144578314,0.6024656766601286,-0.03825727777905841,0.25665146376235964
不過三閘,其他申報,3m,363,20,0,281,-0.1524251418104212,0.15702479338842976,0.0,0.03856749311294766,1.7433813641528555,高,0.44352617079889806,-0.0283538358752085,0.020371572411985794,-0.14643807956730298,0.14475008420788898,1.5480101989647184,1.3190061684397565,4.0,0.6323159023945722,19.0,1.9914550228345844,0.007573760636587695,-0.021313057261910885,316.0,0.09641873278236915,,,,
不過三閘,其他申報,12m,323,60,0,253,-0.2734939586454638,0.4179566563467492,0.015479876160990712,0.21052631578947367,2.917712205580666,高,0.4520123839009288,-0.0647324104105459,0.03050310991031431,-0.3257326603952113,0.2706735175413497,1.4212331455089444,1.059482537070421,4.0,1.0583650899904997,17.0,2.6955323114574354,-0.0018026404759702676,-0.05459228670025739,278.0,0.10835913312693499,0.3968737599206349,0.5081142531290208,-0.02413365610829133,0.0889652303267078
不過三閘,無申報,3m,171,2,0,162,-0.1257596401807656,0.1871345029239766,0.0,0.05847953216374269,1.1577107379257896,高,0.52046783625731,0.0138011145066656,0.03718666502142605,-0.13485788224826376,0.1565979372395277,1.3069804973536046,0.9304451689112555,2.0,0.33035765497547315,9.0,1.2266492929764876,0.02519646101910513,-0.008896571964996335,151.0,0.09941520467836257,,,,
不過三閘,無申報,12m,153,20,0,147,-0.2632475427728894,0.38562091503267976,0.013071895424836602,0.1895424836601307,1.812175157757581,高,0.45751633986928103,-0.0345693956006514,0.025266253268700592,-0.3360353701744633,0.2481305263216542,1.3532523574957405,0.9077934817125918,2.0,0.9203465083576369,8.0,2.998708161373608,0.002039201522626197,-0.053286066152890506,135.0,0.1111111111111111,0.3764547966837742,0.5369253070355658,-0.053554934288675644,0.1091956665672094
