事件表,版本,年份段,進場格,期,樣本N,觀察平均超額,觀察勝率,"缺失平均 -50 個百分點時,平均歸零所需缺失比例 m","缺失平均 -75 個百分點時,平均歸零所需缺失比例 m","缺失平均 -100 個百分點時,平均歸零所需缺失比例 m"
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,買方回來,12m,1287,0.0306111205487659,0.4467754467754468,0.05769031097031555,0.039214302413788864,0.029701911747727412
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,觸發日即買,1m,690,-0.0087168486731259,0.4753623188405797,,,
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,觸發日即買,3m,690,0.0219014536186743,0.518840579710145,0.04196473005931983,0.028373380456793128,0.021432060343116895
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,觸發日即買,6m,690,0.0252646472498852,0.4782608695652174,0.04809889144864912,0.03258841653557541,0.02464207394417991
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,觸發日即買,12m,690,0.0722614553983781,0.5144927536231884,0.12627349739652394,0.08788136051369219,0.06739163758481904
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,跌勢衰竭,1m,690,0.0100532178944382,0.5,0.019710135220671887,0.013226992081276163,0.009953156641978912
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,跌勢衰竭,3m,690,0.0269159032053862,0.5028985507246376,0.051081971604289705,0.0346445517389167,0.026210425918394738
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,跌勢衰竭,6m,690,0.0281872432408519,0.4985507246376812,0.05336600533534393,0.036221672207658956,0.027414503949694566
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,跌勢衰竭,12m,690,0.0910141076859652,0.5304347826086957,0.15399650617870778,0.10821947795428645,0.0834215681032811
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,買方回來,1m,687,0.001951174569315,0.5007278020378457,0.0038871800050854547,0.0025948155083773197,0.0019473749009313803
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,買方回來,3m,687,0.0017452443150146,0.4643377001455604,0.0034783474976374067,0.0023215900974602847,0.0017422037438350748
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,買方回來,6m,687,0.0163004578606832,0.4949053857350801,0.03157165098831204,0.021271627458229567,0.01603901457940473
events.csv(正本),B(總債務/四季經營現金流<=3),建表年份 2010-2021,買方回來,12m,687,0.0626545883545406,0.4919941775836972,0.1113553317636159,0.07709867052052623,0.05896044588821436
events.csv(正本),B(總債務/四季經營現金流<=3),驗證年份 2022-2026,觸發日即買,1m,899,0.0075505172309604,0.5139043381535039,0.014876385649557998,0.00996701481844334,0.007493934152017906
