entity_id,ticker,trigger_date,月,日,close,adj_close,成交股數,該列代號
0000723612,CAR,2020-03-31,2020-08,2020-08-31,34.11000061035156,32.40816116333008,2023100.0,CAR
0000723612,CAR,2020-03-31,2020-09,2020-09-30,26.31999969482422,25.00682258605957,2781900.0,CAR
0000723612,CAR,2020-03-31,2020-10,2020-10-30,33.66999816894531,31.990110397338867,4418000.0,CAR
0000723612,CAR,2020-03-31,2020-11,2020-11-30,35.16999816894531,33.4152717590332,1736600.0,CAR
0000723612,CAR,2020-03-31,2020-12,2020-12-31,37.29999923706055,35.43899917602539,1041300.0,CAR
0000723612,CAR,2020-03-31,2021-01,2021-01-29,41.34000015258789,39.277435302734375,1348400.0,CAR
0000723612,CAR,2020-03-31,2021-02,2021-02-26,55.54999923706055,52.77845764160156,1503200.0,CAR
0000723612,CAR,2020-03-31,2021-03,2021-03-31,72.54000091552734,68.92078399658203,1385900.0,CAR
0000723612,CAR,2020-03-31,2021-04,2021-04-01,74.20999908447266,70.50746154785156,740800.0,CAR
0000077543,TPC,2025-02-06,2024-11,2024-11-29,27.18000030517578,27.08586311340332,303600.0,TPC
0000077543,TPC,2025-02-06,2024-12,2024-12-31,24.200000762939453,24.116186141967773,748200.0,TPC
0000077543,TPC,2025-02-06,2025-01,2025-01-31,24.09000015258789,24.006563186645508,2500600.0,TPC
0000077543,TPC,2025-02-06,2025-02,2025-02-28,29.389999389648438,29.2882080078125,1870500.0,TPC
0000077543,TPC,2025-02-06,2025-03,2025-03-31,23.18000030517578,23.099716186523438,813900.0,TPC
0000077543,TPC,2025-02-06,2025-04,2025-04-30,21.459999084472656,21.38567352294922,404500.0,TPC
0000077543,TPC,2025-02-06,2025-05,2025-05-30,36.880001068115234,36.75226593017578,476500.0,TPC
0000077543,TPC,2025-02-06,2025-06,2025-06-30,46.779998779296875,46.61798095703125,841100.0,TPC
0000077543,TPC,2025-02-06,2025-07,2025-07-31,48.150001525878906,47.983238220214844,676600.0,TPC
0000077543,TPC,2025-02-06,2025-08,2025-08-29,58.939998626708984,58.73585891723633,424100.0,TPC
0000077543,TPC,2025-02-06,2025-09,2025-09-30,65.58999633789062,65.36282348632812,436900.0,TPC
0000077543,TPC,2025-02-06,2025-10,2025-10-31,67.36000061035156,67.12669372558594,392200.0,TPC
0000077543,TPC,2025-02-06,2025-11,2025-11-28,68.55000305175781,68.31258392333984,245300.0,TPC
0000077543,TPC,2025-02-06,2025-12,2025-12-31,67.0199966430664,66.8463363647461,356600.0,TPC
0000077543,TPC,2025-02-06,2026-01,2026-01-30,78.88999938964844,78.68558502197266,1790300.0,TPC
0000077543,TPC,2025-02-06,2026-02,2026-02-10,86.0,85.77716064453125,668900.0,TPC
0001760965,KTB,2020-05-22,2020-02,2020-02-28,33.7400016784668,27.18834114074707,882500.0,KTB
0001760965,KTB,2020-05-22,2020-03,2020-03-31,19.170000076293945,15.710806846618652,962500.0,KTB
0001760965,KTB,2020-05-22,2020-04,2020-04-30,19.40999984741211,15.90749740600586,4893400.0,KTB
0001760965,KTB,2020-05-22,2020-05,2020-05-29,14.619999885559082,11.981849670410156,15833400.0,KTB
0001760965,KTB,2020-05-22,2020-06,2020-06-30,17.809999465942383,14.59621810913086,645800.0,KTB
0001760965,KTB,2020-05-22,2020-07,2020-07-31,19.15999984741211,15.702615737915039,696200.0,KTB
0001760965,KTB,2020-05-22,2020-08,2020-08-31,22.100000381469727,18.11209487915039,393100.0,KTB
0001760965,KTB,2020-05-22,2020-09,2020-09-30,24.200000762939453,19.833154678344727,886900.0,KTB
0001760965,KTB,2020-05-22,2020-10,2020-10-30,32.900001525878906,26.9632568359375,837900.0,KTB
0001760965,KTB,2020-05-22,2020-11,2020-11-30,41.66999816894531,34.150726318359375,436800.0,KTB
0001760965,KTB,2020-05-22,2020-12,2020-12-31,40.560001373291016,33.53228759765625,390000.0,KTB
0001760965,KTB,2020-05-22,2021-01,2021-01-29,36.119998931884766,29.861600875854492,472000.0,KTB
0001760965,KTB,2020-05-22,2021-02,2021-02-26,42.25,34.929473876953125,433500.0,KTB
0001760965,KTB,2020-05-22,2021-03,2021-03-31,48.529998779296875,40.44041442871094,434600.0,KTB
0001760965,KTB,2020-05-22,2021-04,2021-04-30,62.83000183105469,52.35670852661133,525800.0,KTB
0001760965,KTB,2020-05-22,2021-05,2021-05-25,63.65999984741211,53.04835891723633,462300.0,KTB
0001370450,WLDN,2025-01-29,2024-10,2024-10-31,47.310001373291016,47.310001373291016,194300.0,WLDN
0001370450,WLDN,2025-01-29,2024-11,2024-11-29,43.709999084472656,43.709999084472656,78000.0,WLDN
0001370450,WLDN,2025-01-29,2024-12,2024-12-31,38.09000015258789,38.09000015258789,251200.0,WLDN
0001370450,WLDN,2025-01-29,2025-01,2025-01-31,35.349998474121094,35.349998474121094,223400.0,WLDN
0001370450,WLDN,2025-01-29,2025-02,2025-02-28,32.70000076293945,32.70000076293945,93600.0,WLDN
0001370450,WLDN,2025-01-29,2025-03,2025-03-31,40.720001220703125,40.720001220703125,249800.0,WLDN
0001370450,WLDN,2025-01-29,2025-04,2025-04-30,39.20000076293945,39.20000076293945,97100.0,WLDN
0001370450,WLDN,2025-01-29,2025-05,2025-05-30,54.04999923706055,54.04999923706055,207500.0,WLDN
0001370450,WLDN,2025-01-29,2025-06,2025-06-30,62.5099983215332,62.5099983215332,139500.0,WLDN
0001370450,WLDN,2025-01-29,2025-07,2025-07-31,85.30000305175781,85.30000305175781,367300.0,WLDN
0001370450,WLDN,2025-01-29,2025-08,2025-08-29,109.86000061035156,109.86000061035156,359700.0,WLDN
0001370450,WLDN,2025-01-29,2025-09,2025-09-30,96.69000244140625,96.69000244140625,278300.0,WLDN
0001370450,WLDN,2025-01-29,2025-10,2025-10-31,94.51000213623047,94.51000213623047,205100.0,WLDN
0001370450,WLDN,2025-01-29,2025-11,2025-11-28,100.9000015258789,100.9000015258789,120300.0,WLDN
0001370450,WLDN,2025-01-29,2025-12,2025-12-31,103.66000366210938,103.66000366210938,316600.0,WLDN
0001370450,WLDN,2025-01-29,2026-01,2026-01-30,126.19999694824219,126.19999694824219,298900.0,WLDN
0001370450,WLDN,2025-01-29,2026-02,2026-02-02,128.16000366210938,128.16000366210938,251700.0,WLDN
0001530721,CPRI,2020-08-28,2020-05,2020-05-29,15.039999961853027,15.039999961853027,12720800.0,CPRI
0001530721,CPRI,2020-08-28,2020-06,2020-06-30,15.630000114440918,15.630000114440918,3030100.0,CPRI
0001530721,CPRI,2020-08-28,2020-07,2020-07-31,14.979999542236328,14.979999542236328,2746000.0,CPRI
0001530721,CPRI,2020-08-28,2020-08,2020-08-31,15.84000015258789,15.84000015258789,2720300.0,CPRI
0001530721,CPRI,2020-08-28,2020-09,2020-09-30,18.0,18.0,3265200.0,CPRI
