年份段,行業共跌,主成因,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
全期 2010-2026,行業不明,業績(8-K 2.02),12m,7,6,0,5,-0.1983452235466903,0.2857142857142857,0.0,0.0,0.3912031723355986,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,收購或處置(8-K 2.01),3m,1,0,0,1,-0.1585520575033275,0.0,0.0,0.0,-0.1638418926832568,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,收購或處置(8-K 2.01),12m,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,高管離任(8-K 5.02),3m,3,0,0,3,-0.0493217779577761,0.0,0.0,0.0,0.0607501516559005,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,高管離任(8-K 5.02),12m,2,1,0,2,-0.10193879071183226,0.0,0.0,0.0,0.4640107923074708,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,指引或其他重大訊息(8-K 7.01/8.01),3m,5,0,0,3,-0.0817726067313622,0.0,0.0,0.0,0.3207777068484048,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,指引或其他重大訊息(8-K 7.01/8.01),12m,4,1,0,2,-0.4206038007073739,0.5,0.0,0.5,0.7521958811592337,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,重大合約或舉債(8-K 1.01/2.03),3m,3,1,0,2,-0.3546276571826169,1.0,0.0,0.0,-0.2907097978368811,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,重大合約或舉債(8-K 1.01/2.03),12m,3,1,0,2,-0.3546276571826169,1.0,0.0,0.0,0.9439707076841906,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,內部人擬售(Form 144),3m,2,0,0,2,-0.0119052884777564,0.0,0.0,0.0,0.1896505714659664,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
