事件表,版本,名次,entity_id,primary_ticker,name,trigger_date,trigger_year,entry_A_date,超額,mcap,shares,cash,total_debt,has_total_debt,ttm_ocf,ttm_method,split_basis_suspect,dollar_vol_60d,rel60,px_vs_sma200,industry_kill,sic2,sic_description,is_foreign_filer,panel_period_end,panel_filed,currency
events.csv(正本),B(總債務/四季經營現金流<=3),19,0001852131,NXT,Nextpower Inc.,2024-10-18,2024,2024-10-21,1.379743254075005,4576902081.464161,136542423.0,471879000.0,146923000.0,True,324052000.0,YTD_diff,False,91799283.4039688,-0.3359726369380951,-0.2903547779102783,個別殺,36.0,Semiconductors & Related Devices,False,2024-06-28,2024-08-06,USD
events.csv(正本),B(總債務/四季經營現金流<=3),20,0001274494,FSLR,"FIRST SOLAR, INC.",2022-01-06,2022,2022-01-07,1.3714350940160285,8928253128.793335,106326700.0,1367464000.0,278612000.0,True,389410000.0,YTD_diff,False,140003729.5928955,-0.2634272575378418,-0.080982338196438,個別殺,36.0,Semiconductors & Related Devices,False,2021-09-30,2021-11-05,USD
events_gatefix.csv,"A(淨現金 N2, gatefix)",1,0000317788,APPS,"Digital Turbine, Inc.",2020-02-10,2020,2020-02-11,11.705683397360184,560347483.4689102,86741096.0,33714000.0,,False,22186000.0,YTD_diff,False,14976599.338626862,-0.2840596735477447,0.0327407807758819,個別殺,67.0,Patent Owners & Lessors,False,2019-12-31,2020-02-10,USD
events_gatefix.csv,"A(淨現金 N2, gatefix)",2,0001463101,ENPH,"Enphase Energy, Inc.",2019-10-30,2019,2019-10-31,3.600580356905249,2295957167.011881,122385775.0,203046000.0,104062000.0,True,38671000.0,YTD_diff,False,136733109.31549072,-0.3847314119338989,0.0905867394430952,個別殺,36.0,Semiconductors & Related Devices,False,2019-09-30,2019-10-29,USD
events_gatefix.csv,"A(淨現金 N2, gatefix)",3,0000910638,DDD,3D SYSTEMS CORP,2020-09-30,2020,2020-10-01,3.3397619190827053,594773342.15625,121135104.0,63922000.0,21528000.0,True,7012000.0,YTD_diff,False,11753804.256486893,-0.3078320026397705,-0.3675248177175819,個別殺,73.0,Services-Prepackaged Software,False,2020-06-30,2020-08-05,USD
events_gatefix.csv,"A(淨現金 N2, gatefix)",4,0001372920,EDU,New Oriental Education & Technology Group Inc.,2022-03-10,2022,2022-03-11,3.061586771067589,19266935865.284824,1690082150.0,1612211000.0,0.0,True,1130085000.0,FY_latest,False,35674610.935087204,-0.4337650537490845,-0.6431310750098225,個別殺,82.0,Services-Educational Services,True,2021-05-31,2021-09-24,USD
events_gatefix.csv,"A(淨現金 N2, gatefix)",5,0001035983,FIX,COMFORT SYSTEMS USA INC,2025-02-21,2025,2025-02-24,2.4576013817173674,12941314568.0,35553062.0,549939000.0,68335000.0,True,849057000.0,FY_latest,False,169252158.9691162,-0.2673274278640747,-0.0504530403289579,行業殺,17.0,Electrical Work,False,2024-12-31,2025-02-20,USD
events_gatefix.csv,"A(淨現金 N2, gatefix)",6,0000927003,AEIS,ADVANCED ENERGY INDUSTRIES INC,2025-04-04,2025,2025-04-07,2.3645734951592674,2981143613.0830383,37721671.0,722086000.0,564695000.0,True,130747000.0,FY_latest,False,31462409.16595459,-0.2664451003074646,-0.2803215904616896,行業殺,36.0,"Electronic Components, NEC",False,2024-12-31,2025-02-18,USD
events_gatefix.csv,"A(淨現金 N2, gatefix)",7,0001314727,SONO,Sonos Inc,2020-03-13,2020,2020-03-16,2.3636732860384813,929515780.5188084,110001870.0,408419000.0,32631000.0,True,147426000.0,YTD_diff,False,22132045.25952339,-0.3125176131725311,-0.350424741911913,個別殺,36.0,Household Audio & Video Equipment,False,2019-12-28,2020-02-06,USD
events_gatefix.csv,"A(淨現金 N2, gatefix)",8,0000018926,LUMN,"Lumen Technologies, Inc.",2023-09-11,2023,2023-09-12,2.3185573553942818,1380940961.8064525,1007986100.0,411000000.0,,False,2459000000.0,YTD_diff,False,32386106.19508624,-0.4112266600131988,-0.5579432972809673,個別殺,48.0,Telephone Communications (No Radiotelephone),False,2023-06-30,2023-08-01,USD
events_gatefix.csv,"A(淨現金 N2, gatefix)",9,0001064728,BTU,PEABODY ENERGY CORP,2021-11-16,2021,2021-11-17,2.166467393352981,1341521965.9805298,127400000.0,587000000.0,,False,4000000.0,YTD_diff,False,94041223.26455116,-0.272975742816925,0.1542570357550488,個別殺,12.0,Bituminous Coal & Lignite Surface Mining,False,2021-09-30,2021-11-05,USD
events_gatefix.csv,"A(淨現金 N2, gatefix)",10,0000097210,TER,"TERADYNE, INC",2025-05-15,2025,2025-05-16,2.123185812106185,13313279275.435295,160420287.0,475632000.0,,False,826534000.0,YTD_diff,False,274123895.772934,-0.2589316666126251,-0.2565974764784995,個別殺,38.0,Instruments For Meas & Testing of  Electricity & Elec Signals,False,2025-03-30,2025-05-02,USD
