status,ticker,entry_date,entry_px,exit_date,exit_px,bars,exit_reason,flag,ret,spy_ret,excess,premise,event_id,entity_id,arm,tag
成交,CRWD,2022-04-14,59.505001,2022-09-27,40.987499,113.0,跌回200日線下連續10日,升穿確認,-0.31256928843239307,-0.16327820765545642,-0.14929108077693665,,E13,0001535527,D,主口徑
成交,DDOG,2022-01-11,144.800003,2022-04-21,133.649994,69.0,跌回200日線下連續10日,即日確認,-0.07884789538983306,-0.03287960378987742,-0.045968291599955635,,E13,0001561550,D,主口徑
未成交,HUBS,,,,,,期內未確認,,0.0,,0.1329019840250425,,E13,0001404655,D,主口徑
成交,MDB,2022-01-11,426.899994,2022-01-28,355.160004,12.0,跌回200日線下連續10日,即日確認,-0.16971177352432432,-0.06996541548938273,-0.09974635803494158,,E13,0001441816,D,主口徑
未成交,CRM,,,,,,期內未確認,,0.0,,0.1329019840250425,,E13,0001108524,D,主口徑
未成交,ADBE,,,,,,期內未確認,,0.0,,0.1329019840250425,,E13,0000796343,D,主口徑
成交,MSFT,2022-01-11,301.309552,2022-03-17,282.576482,45.0,跌回200日線下連續10日,即日確認,-0.06404689374186645,-0.0680092938482556,0.003962400106389152,守住,E13,0000789019,D,主口徑
成交,NET,2022-03-30,128.559998,2023-03-31,61.66,252.0,期末未平,升穿確認,-0.5213383425923717,-0.09561178702301343,-0.42572655556935823,,E13,0001477333,D,主口徑
成交,BILL,2022-02-07,230.0,2022-03-17,192.449997,27.0,跌回200日線下連續10日,升穿確認,-0.16493352432894504,-0.03541641321648781,-0.12951711111245723,守住,E13,0001786352,D,主口徑
成交,CHGG,2023-12-15,11.08,2024-02-12,8.73,38.0,跌回200日線下連續10日,升穿確認,-0.21366892300147122,0.06747759860404257,-0.2811465216055138,守住,E14,0001364954,D,主口徑
成交,DUOL,2023-05-09,131.5,2024-05-09,200.580002,252.0,期末未平,即日確認,0.5222740867482465,0.2835419202357483,0.23873216651249818,守住,E14,0001562088,D,主口徑
