code,ym,close,volume,turnover_rate,units
US.XLE,2010-01,17.106296,755725768,1.85349000,407731235.67
US.XLE,2010-02,17.621054,835013072,2.04795000,407731180.94
US.XLE,2010-03,18.054204,806506060,1.97806000,407725781.83
US.XLE,2010-04,18.804370,839794822,2.05970000,407726767.00
US.XLE,2010-05,16.971329,1217017898,2.98483000,407734409.66
US.XLE,2010-06,15.593409,987121236,2.42100000,407732852.54
US.XLE,2010-07,16.899137,623373054,1.52891000,407723838.55
US.XLE,2010-08,16.070502,639518068,1.56851000,407723296.63
US.XLE,2010-09,17.595944,589963144,1.44699000,407717499.08
US.XLE,2010-10,18.594073,569259098,1.39622000,407714470.50
US.XLE,2010-11,19.683226,649541802,1.59311000,407719367.78
US.XLE,2010-12,21.422105,449850978,1.10337000,407706370.48
US.XLE,2011-01,22.960102,571314476,1.40122000,407726464.08
US.XLE,2011-02,24.651899,612016830,1.50106000,407723095.68
US.XLE,2011-03,25.031690,828245338,2.03138000,407725456.59
US.XLE,2011-04,25.260820,652475622,1.60029000,407723363.89
US.XLE,2011-05,24.203055,1106262066,2.71319000,407734830.96
US.XLE,2011-06,23.650631,1033887090,2.53572000,407729201.17
US.XLE,2011-07,24.124585,376680178,0.92385000,407728720.03
US.XLE,2011-08,21.544517,1400973868,3.43598000,407736327.92
US.XLE,2011-09,18.364943,1039064284,2.54840000,407732021.66
US.XLE,2011-10,21.880365,999678108,2.45181000,407730659.39
US.XLE,2011-11,22.244462,830410496,2.03668000,407727525.19
US.XLE,2011-12,21.698316,596704482,1.46349000,407727064.76
US.XLE,2012-01,22.187964,573778782,1.40731000,407713142.09
US.XLE,2012-02,23.503109,555201356,1.36173000,407717650.34
US.XLE,2012-03,22.514396,396411408,0.97230000,407704831.84
US.XLE,2012-04,22.360597,481313914,1.18052000,407713477.11
US.XLE,2012-05,19.971993,745496438,1.82845000,407720439.72
US.XLE,2012-06,20.832016,687934544,1.68728000,407718069.32
US.XLE,2012-07,21.861532,550983026,1.35139000,407715778.57
US.XLE,2012-08,22.451621,425410808,1.04344000,407700306.68
US.XLE,2012-09,23.063681,107882380,0.26469000,407580112.58
US.XLE,2012-10,22.561478,96827372,0.23757000,407574070.80
US.XLE,2012-11,22.304099,196056172,0.48092000,407668992.76
US.XLE,2012-12,22.417095,396494246,0.97251000,407701973.24
US.XLE,2013-01,24.278385,390217400,0.95710000,407708076.48
US.XLE,2013-02,24.385103,398674920,0.97783000,407713938.01
US.XLE,2013-03,24.893584,355262988,0.87141000,407687527.11
US.XLE,2013-04,24.567152,608517544,1.49250000,407716947.40
US.XLE,2013-05,25.267098,525705866,1.28941000,407710399.33
US.XLE,2013-06,24.576568,546392982,1.34012000,407719444.53
US.XLE,2013-07,25.869742,404100394,0.99117000,407700388.43
US.XLE,2013-08,25.602946,375451762,0.92090000,407700903.46
US.XLE,2013-09,26.023541,347115826,0.85140000,407700054.03
US.XLE,2013-10,27.115833,484438910,1.18822000,407701360.02
US.XLE,2013-11,27.131527,382357322,0.93783000,407704298.22
US.XLE,2013-12,27.781252,445939684,1.09376000,407712554.86
US.XLE,2014-01,26.171063,529939024,1.29977000,407717537.72
US.XLE,2014-02,27.511318,515633408,1.26469000,407715256.70
US.XLE,2014-03,27.953885,417990928,1.02521000,407712495.98
US.XLE,2014-04,29.422829,426055152,1.04501000,407704377.95
