ticker,t0,multiple_old,t0_price_old,entity_id,match_note,宇宙分段,price_date,t0_close,t0_adj_close,multiple_new,drawdown_new,window_rows,has_panel_at_t0,split_factor,split_table_absent,shares_filed,shares_filed_date,shares_period_end,currency,mcap,mcap_missing_reason,n1,n1_reason,n2,n2_reason,panel_filed_date,in_index,in_v1,U1,U2,U3,U0,U5
GNRC,2017-05-31,14.6,34.65,0001474735,唯一,既有574,2017-05-31,34.650001525878906,34.650001525878906,14.597401602282874,0.01962482756798467,1259.0,True,1.0,True,62735597.0,2017-02-24,2016-12-31,USD,2173788531.776924,none,False,sti_missing_as_zero,True,none,2017-02-24,False,False,True,True,True,False,False
DXCM,2017-10-31,14.48,11.2425,0001093557,唯一,既有574,2017-10-31,11.242500305175781,11.242500305175781,14.482099001273772,-0.002446088667236279,1258.0,True,4.0,False,86560946.0,2017-08-01,2017-06-30,USD,3892645847.2852173,none,True,none,,lt_debt_missing,2017-08-01,False,False,True,True,True,False,False
BIDU,2009-01-30,14.12,12.877,0001329099,唯一,新增154,2009-01-30,12.876999855041504,12.876999855041504,14.117418290950729,-0.04985634896259683,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
ZS,2018-05-31,14.04,26.26,0001713683,唯一,新增154,2018-05-31,26.260000228881836,26.260000228881836,14.043411864623572,0.07311500607613275,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
LPX,2009-02-27,13.69,1.4095,0000060519,唯一,既有574,2009-02-27,1.6200000047683716,1.4095449447631836,13.691356312351363,-0.2654318460908719,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,True,False,False,False,False,True
PBF,2020-10-30,13.68,4.1701,0001534504,唯一,新增154,2020-10-30,4.670000076293945,4.170126438140869,13.68311826952466,0.07708793742622544,1255.0,True,1.0,True,,,,,,shares_absent_at_t0,False,sti_missing_as_zero,False,st_debt_missing_as_zero,2020-10-29,False,False,False,False,False,False,False
NBR,2020-04-30,13.58,14.73,0001163739,唯一,既有574,2020-04-30,14.729999542236328,14.729999542236328,13.579091003969824,-0.17040049919963873,1256.0,True,1.0,False,317424214.0,2019-02-28,2017-12-31,USD,4675658526.914726,none,False,none,False,st_debt_missing_as_zero,2019-02-28,False,True,True,True,True,False,True
NXE,2014-01-31,13.51,0.237,,時段不覆蓋 t0,新增154,,,,,,,,,,,,,,,entity_unmatched,,,,,,,False,False,False,False,False,False
DPZ,2009-03-31,13.42,5.1691,0001286681,唯一,既有574,2009-03-31,6.550000190734863,5.169111251831055,13.420577741879184,-0.019847400633850487,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
ALM,2021-08-31,13.34,1.755,0001670061,唯一,新增154,2021-08-31,1.7549999952316284,1.7549999952316284,13.344729424459587,-0.6012820466665991,1253.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,True,False,False,False,False,True
OKTA,2017-07-31,13.29,21.95,0001660134,唯一,新增154,2017-07-31,21.950000762939453,21.950000762939453,13.292937978933487,0.0109339299670268,1258.0,True,1.0,True,,,,,,shares_absent_at_t0,True,none,,lt_debt_missing,2017-06-08,False,False,False,False,False,False,False
DVN,2020-03-31,13.21,5.0127,0001090012,唯一,既有574,2020-03-31,6.909999847412109,5.012683391571045,13.2093144840278,-0.017366130665819157,1256.0,True,1.0,False,382900000.0,2020-02-19,2019-12-31,USD,2645838941.5740967,none,,liabilities_missing,False,st_debt_missing_as_zero,2020-02-19,True,False,True,True,True,True,False
HWM,2020-05-29,13.18,12.8842,0000004281,唯一,既有574,2020-05-29,13.079999923706055,12.884174346923828,13.183134671143733,-0.007645427443716657,1256.0,True,1.0,True,436103413.0,2020-05-07,2020-03-31,USD,5704232608.76795,none,False,sti_missing_as_zero,False,none,2020-05-07,True,False,False,False,True,True,False
RIG,2020-10-30,13.13,0.67,0001451505,唯一,既有574,2020-10-30,0.6700000166893005,0.6700000166893005,13.134328315719568,0.07462688160516184,1255.0,True,1.0,False,614612545.0,2020-07-30,2020-06-30,USD,411790415.4074535,none,,liabilities_missing,False,st_debt_missing_as_zero,2020-07-30,False,False,True,True,True,False,False
VEEV,2016-02-29,13.1,24.29,0001393052,唯一,既有574,2016-02-29,24.290000915527344,24.290000915527344,13.0955119122516,-0.004116936093065404,1258.0,True,1.0,True,,,,,,shares_absent_at_t0,False,sti_missing_as_zero,,lt_debt_missing,2015-12-10,False,False,False,False,False,False,False
ATI,2021-08-31,12.98,17.86,0001018963,唯一,既有574,2021-08-31,17.860000610351562,17.860000610351562,12.977603071578756,-0.21276596085514143,1253.0,True,1.0,True,127245632.0,2021-08-03,2021-06-30,USD,2272607065.1845703,none,False,sti_missing_as_zero,,lt_debt_missing,2021-08-03,False,False,True,True,True,False,False
LITE,2021-05-28,12.94,81.37,0001633978,唯一,既有574,2021-05-28,81.37000274658203,81.37000274658203,12.9419925067478,-0.5567162531976275,1254.0,True,1.0,True,75900000.0,2021-05-12,2021-04-03,USD,6175983208.465576,none,True,none,False,st_debt_missing_as_zero,2021-05-12,False,False,False,False,True,False,False
ALK,2009-05-29,12.92,3.5004,0000766421,唯一,既有574,2009-05-29,3.8924999237060547,3.5003743171691895,12.918131592164741,0.0019267610131132873,1258.0,False,4.0,False,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,True,False,False,False,False,True
NET,2019-10-31,12.9,16.84,0001477333,唯一,新增154,2019-10-31,16.84000015258789,16.84000015258789,12.90083123702431,-0.056413289825246515,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
WULF,2020-03-31,12.9,2.7962,0001083301,唯一,新增154,2020-03-31,3.2799999713897705,2.7962241172790527,12.89939081943764,-0.8068824247238326,1256.0,True,1.0,True,1976354.0,2020-03-03,2019-12-31,USD,6482441.0634560585,none,False,none,False,none,2020-03-03,False,False,False,True,False,False,False
SANM,2009-02-27,12.81,1.5,0000897723,唯一,既有574,2009-02-27,1.5,1.5,12.813332875569662,-0.19999996821085608,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
BBWI,2009-02-27,12.76,2.6142,0000701985,唯一,既有574,2009-02-27,6.216652870178223,2.6141679286956787,12.764916962428686,-0.18595536642189447,1258.0,False,1.237,False,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,True,False,False,False,False,True
APP,2021-04-30,12.65,58.01,0001751008,唯一,新增154,2021-04-30,58.0099983215332,58.0099983215332,12.646095445819494,-0.8396828053814523,1255.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
APA,2020-03-31,12.55,3.5508,,時段不覆蓋 t0,既有574,,,,,,,,,,,,,,,entity_unmatched,,,,,,,False,False,False,False,False,False
ANET,2020-10-30,12.41,13.0562,0001596532,唯一,既有574,2020-10-30,13.056249618530273,13.056249618530273,12.410148665458527,0.03456199823672956,1255.0,True,16.0,False,76025600.0,2020-08-05,2020-06-30,USD,15881747375.976562,none,True,none,,lt_debt_missing,2020-08-05,True,False,False,False,False,True,False
