month_end,series,n_members,total_mcap,pe_fwd,n_fwd,pe_now,n_now,pe_lag,n_lag
2019-11-30,XLV,50,3424027423109.84,23.388261745670132,50,26.062641306237143,50,26.117896849350412,50
2019-12-31,XLV,51,3542630450049.77,24.208235108348614,51,24.37137597212462,51,27.053278578393506,51
2020-01-31,XLV,51,3456256848982.81,27.870013254156472,51,23.63468833474926,51,26.28303975168519,51
2020-02-29,XLV,51,3221772050059.95,25.70153756397222,51,22.02100594016908,51,22.071874341299235,51
2020-03-31,XLV,51,3095854533838.66,22.2250153098228,51,21.038135527657474,51,21.211202977920372,51
2020-04-30,XLV,51,3480693925290.78,24.82527751173289,51,23.778759858851252,51,23.858634213777336,51
2020-05-31,XLV,53,3667378707104.91,25.862788486620815,53,24.70489230910292,53,24.58753506724754,53
2020-06-30,XLV,54,3596306840367.84,22.933064268647215,54,24.977192919980848,54,23.99611622571354,54
2020-07-31,XLV,54,3781861404361.99,23.978103229509994,54,26.337584718456778,54,25.229919647787217,54
2020-08-31,XLV,54,3877196992554.29,24.58220244384983,54,27.000352964623875,54,26.920388415673525,54
2020-09-30,XLV,54,3789693027204.88,21.274863899145476,54,24.884846267444015,54,26.423108274901573,54
2020-10-31,XLV,54,3636783238474.6104,20.321522102236585,54,24.04475003157872,54,25.382827300277725,54
2020-11-30,XLV,55,3939618707286.47,22.299767489589442,55,25.940417550767684,55,25.790801522453474,55
2020-12-31,XLV,55,4077412986286.9,19.613120538078526,55,31.878565134246873,55,26.914883599617816,55
2021-01-31,XLV,55,4137161606936.27,20.073735901622953,55,32.00330434318606,55,27.31602428304227,55
2021-02-28,XLV,55,4049454852042.3096,19.64905351981555,55,31.330347046355087,55,26.740304633072057,55
2021-03-31,XLV,55,4186994416106.22,20.5700506231149,55,29.36373150585323,55,32.75534073240165,55
2021-04-30,XLV,55,4340797400517.53,21.350583213661626,55,30.35553408918797,55,33.70757040925879,55
2021-05-31,XLV,56,4432975506835.3,21.76182656720257,56,30.899500227428447,56,31.09984352403636,56
2021-06-30,XLV,57,4547846177811.35,21.707073037324925,57,29.156279191501874,57,31.26465419344213,57
2021-07-31,XLV,58,4893433508505.85,22.030277016950134,58,30.651052924776604,58,33.63319726726951,58
2021-08-31,XLV,59,5038043932213.6,22.650956568169573,59,31.516124380227883,59,31.693447867781416,59
2021-09-30,XLV,58,4741178761412.0205,23.188700949058713,58,25.79333923745491,58,29.5305901362998,58
2021-10-31,XLV,58,4962081745643.25,24.47073043752784,58,26.962222383134208,58,31.0590075221971,58
2021-11-30,XLV,58,4809631080925.49,23.719432950813744,58,26.135707740923394,58,26.287998327521944,58
2021-12-31,XLV,58,5208066609562.67,26.008452160679973,58,23.76823802428226,58,28.357553711111333,58
2022-01-31,XLV,58,4838826027114.7,24.207394683401255,58,22.28297317046997,58,26.376393322075824,58
2022-02-28,XLV,58,4768205986131.16,23.902328260884182,58,21.997970752196448,58,26.048346881545037,58
2022-03-31,XLV,59,5035967733710.87,26.453136891669768,59,23.211747852028374,59,23.032967026100415,59
2022-04-30,XLV,59,4789023320700.49,25.21374623646378,59,22.066745117362935,59,22.096873316654232,59
2022-05-31,XLV,59,4850244619442.42,25.53013826593075,59,22.34141248122497,59,22.36272656998328,59
2022-06-30,XLV,60,4823441682730.79,27.202246257599352,60,21.30631645680543,60,21.67837966423593,60
2022-07-31,XLV,60,4973469851457.92,28.150442012716944,60,22.019142422908104,60,22.37873144309866,60
2022-08-31,XLV,60,4680358182056.55,26.488600746188993,60,20.715167791010785,60,20.690954121243394,60
2022-09-30,XLV,60,4555657914547.319,26.88937107295466,60,21.953033186716137,60,20.20037309379872,60
2022-10-31,XLV,60,4991364311229.81,29.38646003635012,60,24.19716314821813,60,22.159645675367127,60
2022-11-30,XLV,60,5221276680054.98,30.74007064920982,60,25.311693611917512,60,25.193395954359907,60
2022-12-31,XLV,60,5100438236876.49,33.23275051187284,60,25.045527710269663,60,24.795283603958993,60
2023-01-31,XLV,61,5021536154476.67,32.42331327540345,61,24.457920399854093,61,24.19409206936648,61
2023-02-28,XLV,61,4778558337178.29,30.892178292990717,61,23.287325973246062,61,23.03180814902239,61
2023-03-31,XLV,62,4901888010646.99,31.680384901328786,62,25.028679256508564,62,23.87456156347517,62
2023-04-30,XLV,62,5057076502793.49,39.59277209813382,62,25.872876411254268,62,24.65836909824984,62
2023-05-31,XLV,63,4855582661264.0,38.10047574479548,63,24.72196222591482,63,24.678320996730687,63
2023-06-30,XLV,63,5056910503554.7,39.72524098842066,63,28.448481363804063,63,25.775686346057928,63
2023-07-31,XLV,63,5091681684015.07,39.442807393728955,63,28.713010425779565,63,25.961422836841564,63
2023-08-31,XLV,64,5072005137648.52,38.98801660677687,64,28.495588558858934,64,28.437656317159682,64
2023-09-30,XLV,64,4905436329604.54,37.743205136589616,64,28.79379663411195,64,27.636396527336423,64
2023-10-31,XLV,63,4738279524879.64,33.90067301922351,63,27.82139011261256,63,26.82079018521561,63
2023-11-30,XLV,63,4992930715157.49,35.64651862697776,63,29.319640529238466,63,29.425463070942463,63
