ticker,p0,p1,ret,rel_spy,ma200,px_vs_ma200,ma200_slope_40d,med_dollar_vol_60d,name,entity_id,sic,sic_description,approx_mcap_usd,shares_outstanding,mcap_now_usd
ACR,20.059999465942383,14.279999732971191,-0.28813558757987023,-0.30610987667220846,19.018550009727477,-0.24915412974872664,-0.0477496577509704,426815.4956817627,ACRES Commercial Realty Corp.,0001332551,6798,Real Estate Investment Trusts,100120657.76797009,7131101.0,101832120.3757906
ACRE,4.767114639282227,4.570000171661377,-0.04134879954355963,-0.05932308863589786,4.689491631984711,-0.025480685264121505,0.014717639853436104,1692969.4571495056,Ares Commercial Real Estate Corp,0001529377,6798,Real Estate Investment Trusts,252439074.7321825,55481113.0,253548695.93396425
ACRS,4.340000152587891,6.170000076293945,0.42165895377096874,0.4036846646786305,4.214050012826919,0.46414970337642303,0.19726095766922014,8599299.736261368,"Aclaris Therapeutics, Inc.",0001557746,2834,Pharmaceutical Preparations,909689133.4716353,147198893.0,908217181.0403843
ACRV,1.559999942779541,2.130000114440918,0.36538473882619193,0.3474104497338537,1.8561499935388566,0.14753663327603728,-0.01070606196296886,487966.00283384323,"Acrivon Therapeutics, Inc.",0001781174,2834,Pharmaceutical Preparations,92134732.38681509,42853362.0,91277665.96417809
ACT,40.89161682128906,49.27000045776367,0.20489245199306083,0.1869181629007226,42.39358917236328,0.16220403649812187,0.05851125656794154,13730816.271781921,"Enact Holdings, Inc.",0001823529,6411,"Insurance Agents, Brokers & Service",6698204618.946747,137483671.0,6773820533.10503
ACTG,4.630000114440918,4.539999961853027,-0.019438477400288035,-0.03741276649262626,4.402649983167648,0.031197115194371516,0.046657149182029345,974836.5494728088,ACACIA RESEARCH CORP,0000934549,6794,Patent Owners & Lessors,451826918.31792355,97586805.0,443044090.9773588
ACTU,1.9900000095367432,1.4800000190734863,-0.2562814010146568,-0.274255690106995,3.3103249967098236,-0.5529139826015639,-0.24054014679885904,228636.99564933777,"ACTUATE THERAPEUTICS, INC.",0001652935,2834,Pharmaceutical Preparations,31218461.454913616,24014202.0,35541019.41803455
ACU,42.4398193359375,63.13999938964844,0.48775372698588026,0.46977943789354204,45.53445604324341,0.38664222385099545,0.08913234664779468,1277500.4974365234,ACME UNITED CORP,0000002098,3420,"Cutlery, Handtools & General Hardware",244674582.69001007,3833823.0,242067581.88002014
ACVA,6.539999961853027,6.980000019073486,0.06727829660350504,0.049304007511166814,6.670449986457824,0.0464061694854323,-0.01843389885883351,20803463.459420204,ACV Auctions Inc.,0001637873,7389,"Services-Business Services, NEC",1149600021.3611698,169807980.0,1185259703.6388302
ACXP,1.9299999475479126,1.4199999570846558,-0.26424870690344715,-0.2822229959957854,2.4053250044584273,-0.40964320644711505,-0.24658833463916963,127091.00289344788,"Acurx Pharmaceuticals, Inc.",0001736243,2834,Pharmaceutical Preparations,7535986.753581643,5269921.0,7483287.593839526
AD,40.46533966064453,38.5,-0.04856847062514502,-0.06654275971748325,36.87897545814514,0.04395524880279278,0.015345150400158047,6539563.668251038,"ARRAY DIGITAL INFRASTRUCTURE, INC.",0000821130,4812,Radiotelephone Communications,,,
ADAG,3.7799999713897705,3.5799999237060547,-0.052910065925260596,-0.07088435501759882,3.2271850043535233,0.10932590442648271,0.12473347385450473,782498.9898920059,Adagene Inc.,0001818838,2834,Pharmaceutical Preparations,218566057.55928183,59231993.0,212050530.42095757
