event_id,event,籃子,口徑,窗口,n,成熟數,中位,平均,Q1,Q3,四分位距,前20均,後20均,前後20差距,贏家比例,最好,最差,標準差,備註
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,同SIC全體,衝擊結束日(新聞),12m,391,391,-0.0007,0.5211,-0.2374,0.3748,0.6122,3.1184,-0.6229,3.7413,0.4987,123.4012,-0.9987,6.3144,
E08,2025-04 對等關稅殺零售與電子硬件,新聞點名,衝擊低點,3m,18,18,0.0179,0.0943,-0.0581,0.2947,0.3528,0.3408,-0.1136,0.4544,0.5556,0.404,-0.2424,0.1938,
E08,2025-04 對等關稅殺零售與電子硬件,新聞點名,衝擊低點,6m,18,18,0.0137,0.1761,-0.0764,0.4828,0.5592,0.7581,-0.2781,1.0362,0.5,1.0106,-0.4851,0.4138,
E08,2025-04 對等關稅殺零售與電子硬件,新聞點名,衝擊低點,12m,18,18,0.0719,0.3174,-0.1531,0.5609,0.714,1.5086,-0.4418,1.9504,0.6111,3.3409,-0.5307,0.8846,
E08,2025-04 對等關稅殺零售與電子硬件,新聞點名,衝擊結束日(新聞),3m,18,18,0.0252,0.0964,-0.0673,0.2755,0.3428,0.3706,-0.1322,0.5027,0.5556,0.4187,-0.2533,0.2045,
E08,2025-04 對等關稅殺零售與電子硬件,新聞點名,衝擊結束日(新聞),6m,18,18,0.0001,0.1638,-0.0956,0.4601,0.5557,0.7649,-0.2699,1.0348,0.5,1.0739,-0.4786,0.4144,
E08,2025-04 對等關稅殺零售與電子硬件,新聞點名,衝擊結束日(新聞),12m,18,18,0.033,0.3637,-0.1337,0.589,0.7227,1.7006,-0.423,2.1236,0.7222,3.9764,-0.5326,1.0185,
E08,2025-04 對等關稅殺零售與電子硬件,同SIC全體,衝擊低點,3m,368,368,0.095,0.222,-0.098,0.3163,0.4143,1.1192,-0.3058,1.425,0.6168,18.5916,-0.9665,1.1572,
E08,2025-04 對等關稅殺零售與電子硬件,同SIC全體,衝擊低點,6m,368,368,0.1175,0.4234,-0.1297,0.5998,0.7296,2.0016,-0.4077,2.4093,0.6005,18.696,-0.982,1.3936,
E08,2025-04 對等關稅殺零售與電子硬件,同SIC全體,衝擊低點,12m,368,368,0.1103,0.566,-0.2716,0.7125,0.9841,3.0205,-0.6492,3.6697,0.5516,40.6926,-0.9988,2.5424,
E08,2025-04 對等關稅殺零售與電子硬件,同SIC全體,衝擊結束日(新聞),3m,368,368,0.0953,0.2075,-0.1026,0.3278,0.4305,1.0639,-0.3216,1.3856,0.606,13.3504,-0.9689,0.8852,
E08,2025-04 對等關稅殺零售與電子硬件,同SIC全體,衝擊結束日(新聞),6m,368,368,0.102,0.3793,-0.1597,0.569,0.7287,1.8586,-0.4206,2.2792,0.5842,13.2281,-0.9824,1.1768,
E08,2025-04 對等關稅殺零售與電子硬件,同SIC全體,衝擊結束日(新聞),12m,368,368,0.1023,0.5834,-0.2601,0.735,0.995,3.0988,-0.6509,3.7497,0.5543,40.5378,-0.9991,2.5553,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,新聞點名,衝擊低點,3m,5,5,0.0589,0.0983,0.0343,0.1897,0.1554,0.1908,0.0177,0.1731,1.0,0.1908,0.0177,0.0852,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,新聞點名,衝擊低點,6m,5,5,-0.0825,-0.0813,-0.1132,-0.0713,0.0419,-0.0089,-0.1307,0.1218,0.0,-0.0089,-0.1307,0.0469,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,新聞點名,衝擊低點,12m,5,5,-0.1335,-0.1792,-0.2587,-0.1183,0.1404,-0.0946,-0.2907,0.1961,0.0,-0.0946,-0.2907,0.089,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,新聞點名,衝擊結束日(新聞),3m,5,5,-0.0189,0.0214,-0.0201,0.055,0.0751,0.1322,-0.0414,0.1736,0.4,0.1322,-0.0414,0.0719,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,新聞點名,衝擊結束日(新聞),6m,5,5,-0.2151,-0.1958,-0.2533,-0.1587,0.0946,-0.0708,-0.2809,0.2101,0.0,-0.0708,-0.2809,0.0836,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,新聞點名,衝擊結束日(新聞),12m,5,5,-0.2217,-0.2635,-0.3922,-0.167,0.2253,-0.115,-0.4218,0.3068,0.0,-0.115,-0.4218,0.1367,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,同SIC全體,衝擊低點,3m,66,66,0.0748,0.1168,-0.0063,0.2121,0.2184,0.4648,-0.1588,0.6236,0.7121,0.7427,-0.5787,0.2276,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,同SIC全體,衝擊低點,6m,66,66,-0.1207,-0.1381,-0.2395,-0.0071,0.2324,0.0929,-0.4207,0.5136,0.2424,0.1728,-0.7528,0.1915,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,同SIC全體,衝擊低點,12m,66,66,-0.3966,-0.3848,-0.526,-0.2472,0.2788,-0.014,-0.726,0.712,0.0606,0.3852,-0.926,0.2525,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,同SIC全體,衝擊結束日(新聞),3m,66,66,0.0477,0.0784,-0.0428,0.1582,0.2009,0.4475,-0.2005,0.648,0.6061,1.8538,-0.6182,0.2942,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,同SIC全體,衝擊結束日(新聞),6m,66,66,-0.2098,-0.2528,-0.369,-0.1067,0.2624,-0.0102,-0.5838,0.5736,0.0303,0.517,-0.7942,0.218,
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,同SIC全體,衝擊結束日(新聞),12m,66,66,-0.382,-0.3909,-0.5645,-0.2319,0.3326,-0.0575,-0.7474,0.6899,0.0455,0.2517,-0.948,0.2483,
E10,2016-11 特朗普當選殺太陽能與醫院,新聞點名,衝擊低點,3m,10,10,0.0554,0.0576,-0.0772,0.1085,0.1858,0.343,-0.1687,0.5117,0.7,0.5559,-0.2108,0.2094,
E10,2016-11 特朗普當選殺太陽能與醫院,新聞點名,衝擊低點,6m,10,10,0.0972,0.155,0.0076,0.2379,0.2303,0.4722,-0.0265,0.4987,0.8,0.5354,-0.0268,0.1948,
E10,2016-11 特朗普當選殺太陽能與醫院,新聞點名,衝擊低點,12m,10,10,0.0825,0.2227,-0.111,0.3273,0.4383,1.1143,-0.2704,1.3847,0.5,1.4735,-0.3504,0.5407,
E10,2016-11 特朗普當選殺太陽能與醫院,新聞點名,衝擊結束日(新聞),3m,10,10,0.0272,0.0607,-0.0619,0.1233,0.1852,0.3933,-0.1829,0.5763,0.6,0.6396,-0.1989,0.2345,
E10,2016-11 特朗普當選殺太陽能與醫院,新聞點名,衝擊結束日(新聞),6m,10,10,0.1011,0.1335,-0.0348,0.2577,0.2925,0.4426,-0.0863,0.5289,0.6,0.5304,-0.109,0.2075,
E10,2016-11 特朗普當選殺太陽能與醫院,新聞點名,衝擊結束日(新聞),12m,10,10,0.0676,0.1885,-0.1627,0.4096,0.5723,0.9696,-0.2609,1.2305,0.5,1.2394,-0.341,0.4909,
E10,2016-11 特朗普當選殺太陽能與醫院,同SIC全體,衝擊低點,3m,185,185,0.0103,0.0415,-0.1002,0.1288,0.229,0.4103,-0.2279,0.6382,0.5189,1.4736,-0.5259,0.2544,
E10,2016-11 特朗普當選殺太陽能與醫院,同SIC全體,衝擊低點,6m,185,185,0.0031,0.0257,-0.1682,0.1487,0.317,0.4898,-0.3417,0.8315,0.5081,1.3652,-0.6508,0.3174,
E10,2016-11 特朗普當選殺太陽能與醫院,同SIC全體,衝擊低點,12m,185,185,-0.0823,0.0,-0.27,0.1223,0.3924,0.6695,-0.4603,1.1298,0.3946,1.6041,-0.7467,0.421,
E10,2016-11 特朗普當選殺太陽能與醫院,同SIC全體,衝擊結束日(新聞),3m,185,185,-0.0102,0.0256,-0.1131,0.1083,0.2215,0.3896,-0.2419,0.6315,0.4757,1.6278,-0.4834,0.2591,
E10,2016-11 特朗普當選殺太陽能與醫院,同SIC全體,衝擊結束日(新聞),6m,185,185,-0.0153,0.0256,-0.148,0.1765,0.3245,0.4819,-0.3407,0.8226,0.4919,1.3161,-0.6843,0.3121,
E10,2016-11 特朗普當選殺太陽能與醫院,同SIC全體,衝擊結束日(新聞),12m,185,185,-0.0945,-0.0083,-0.2695,0.142,0.4115,0.6295,-0.4569,1.0864,0.3946,1.5637,-0.7486,0.4035,
E11,2018-03 劍橋分析私隱風暴殺社交平台,新聞點名,衝擊低點,3m,2,2,0.0383,0.0383,-0.0444,0.1209,0.1653,0.2035,-0.127,0.3306,0.5,0.2035,-0.127,0.2338,
E11,2018-03 劍橋分析私隱風暴殺社交平台,新聞點名,衝擊低點,6m,2,2,-0.2887,-0.2887,-0.3932,-0.1842,0.209,-0.0797,-0.4977,0.418,0.0,-0.0797,-0.4977,0.2956,
