weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
0.0,0.6,0.1,0.3,monthly,-0.3678580088672464,420,普通,9,9,-0.3676300999605991,-0.3676047767487494,-0.00022790890664731167,,False,cadence=monthly,1,-0.36650382203743453,-0.0011262779231645537
0.0,0.6,0.1,0.3,quarterly,-0.3666529478150454,141,普通,9,9,-0.36650382203743453,-0.3664872525065889,-0.0001491257776108923,,False,cadence=quarterly,1,-0.3676300999605991,0.0011262779231645537
0.0,0.6,0.2,0.2,monthly,-0.36845007818534126,420,普通,9,9,-0.36825451461941544,-0.36823278533431253,-0.00019556356592581592,,False,cadence=monthly,1,-0.36710554169637966,-0.0011489729230357848
0.0,0.6,0.2,0.2,quarterly,-0.3672081400501498,141,普通,9,9,-0.36710554169637966,-0.3670941418792941,-0.0001025983537701336,,False,cadence=quarterly,1,-0.36825451461941544,0.0011489729230357848
0.0,0.6,0.3,0.1,monthly,-0.36908123363292744,420,普通,9,9,-0.3689047857227231,-0.368885180399367,-0.00017644791020432482,,False,cadence=monthly,1,-0.3677308688687725,-0.0011739168539506295
0.0,0.6,0.3,0.1,quarterly,-0.36789599405160744,141,普通,9,9,-0.3677308688687725,-0.36771252162623524,-0.00016512518283495758,,False,cadence=quarterly,1,-0.3689047857227231,0.0011739168539506295
0.0,0.6,0.4,0.0,monthly,-0.3698075826303271,280,普通,6,6,-0.3682352906294787,-0.3679732419626706,-0.0015722920008484076,,False,cadence=monthly,1,-0.36707111770635026,-0.001164172923128426
0.0,0.6,0.4,0.0,quarterly,-0.3685804360701206,94,普通,6,6,-0.36707111770635026,-0.3668195646457219,-0.001509318363770329,,False,cadence=quarterly,1,-0.3682352906294787,0.001164172923128426
0.0,0.7,0.0,0.3,monthly,-0.3742004242179915,280,普通,6,6,-0.372814780160729,-0.3725838394845186,-0.0013856440572624917,,False,cadence=monthly,1,-0.37179805331735377,-0.0010167268433752263
0.0,0.7,0.0,0.3,quarterly,-0.3731839385923357,94,普通,6,6,-0.37179805331735377,-0.37156707243819015,-0.0013858852749819017,,False,cadence=quarterly,1,-0.372814780160729,0.0010167268433752263
0.0,0.7,0.1,0.2,monthly,-0.3747882665760872,420,普通,9,9,-0.37448243934692915,-0.37444845854368936,-0.00030582722915806215,,False,cadence=monthly,1,-0.37346994837001357,-0.001012490976915581
0.0,0.7,0.1,0.2,quarterly,-0.3737178171089397,141,普通,9,9,-0.37346994837001357,-0.3734424073990218,-0.00024786873892612693,,False,cadence=quarterly,1,-0.37448243934692915,0.001012490976915581
0.0,0.7,0.2,0.1,monthly,-0.3753765380676084,420,普通,9,9,-0.37507477130544054,-0.37504124166519964,-0.00030176676216786547,,False,cadence=monthly,1,-0.37401749832274284,-0.001057272982697699
0.0,0.7,0.2,0.1,quarterly,-0.37424927111533,141,普通,9,9,-0.37401749832274284,-0.37399174579023314,-0.00023177279258718153,,False,cadence=quarterly,1,-0.37507477130544054,0.001057272982697699
0.0,0.7,0.3,0.0,monthly,-0.37596523765487966,280,普通,6,6,-0.3742770513397466,-0.3739956869538911,-0.0016881863151330667,,False,cadence=monthly,1,-0.3731648964574584,-0.0011121548822882188
0.0,0.7,0.3,0.0,quarterly,-0.37477831708978415,94,普通,6,6,-0.3731648964574584,-0.3728959930187374,-0.0016134206323257794,,False,cadence=quarterly,1,-0.3742770513397466,0.0011121548822882188
0.0,0.8,0.0,0.2,monthly,-0.38108461999633203,280,普通,6,6,-0.3797085611755054,-0.37947921803870094,-0.0013760588208266422,,False,cadence=monthly,1,-0.37891084558480115,-0.0007977155907042399
0.0,0.8,0.0,0.2,quarterly,-0.38031007301660447,94,普通,6,6,-0.37891084558480115,-0.3786776410128339,-0.0013992274318033182,,False,cadence=quarterly,1,-0.3797085611755054,0.0007977155907042399
0.0,0.8,0.1,0.1,monthly,-0.3816687213681036,420,普通,9,9,-0.3813645060613836,-0.38133070436063693,-0.0003042153067199793,,False,cadence=monthly,1,-0.38058187432125207,-0.0007826317401315452
0.0,0.8,0.1,0.1,quarterly,-0.3808294468262232,141,普通,9,9,-0.38058187432125207,-0.3805543662651442,-0.0002475725049711497,,False,cadence=quarterly,1,-0.3813645060613836,0.0007826317401315452
0.0,0.8,0.2,0.0,monthly,-0.38225325667251675,280,普通,6,6,-0.3805458261563026,-0.3802612544036003,-0.0017074305162141368,,False,cadence=monthly,1,-0.37965971869548376,-0.0008861074608188524
0.0,0.8,0.2,0.0,quarterly,-0.3813464542082524,94,普通,6,6,-0.37965971869548376,-0.3793785961100224,-0.0016867355127686556,,False,cadence=quarterly,1,-0.3805458261563026,0.0008861074608188524
