window,arm,direction,bar,rsi_kind,style,params,n_periods,start,end,years,cagr_pct,maxdd_pct,exc_spy,t_spy,exc_ew9,t_ew9,exc_spy_h1,exc_spy_h2,exc_spy_pre13,exc_spy_post13,ann_turnover,pct_in_mkt,n_rebal,N,H,E,X
主窗,ey_lag,買便宜,1M,wilder,乙,"E=35,X=85,H=1",277,2003-07-01,2026-08-03,23.09,11.6667,-47.686,0.4156,0.276,0.5816,0.56,0.76,0.0568,1.0604,-0.0625,2.09,99.28,171.0,,1.0,35.0,85.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=35,X=90,H=1",277,2003-07-01,2026-08-03,23.09,11.6306,-47.212,0.3795,0.226,0.5455,0.588,1.3513,-0.6263,1.9016,-0.7491,1.54,99.64,147.0,,1.0,35.0,90.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=35,X=95,H=1",277,2003-07-01,2026-08-03,23.09,11.651,-47.005,0.3999,0.269,0.5659,0.816,1.4917,-0.729,1.9375,-0.7399,0.91,100.0,107.0,,1.0,35.0,95.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=40,X=50,H=1",277,2003-07-01,2026-08-03,23.09,8.6999,-49.679,-2.5512,-1.641,-2.3852,-1.667,-2.154,-2.9637,-0.7667,-3.9131,4.54,94.58,229.0,,1.0,40.0,50.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=40,X=55,H=1",277,2003-07-01,2026-08-03,23.09,9.6599,-47.019,-1.5912,-1.036,-1.4251,-1.017,-1.2814,-1.9132,0.4369,-3.1181,4.32,94.95,229.0,,1.0,40.0,55.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=40,X=60,H=1",277,2003-07-01,2026-08-03,23.09,10.0939,-46.984,-1.1572,-0.723,-0.9912,-0.655,-0.5112,-1.8275,1.3333,-3.0148,4.1,96.39,224.0,,1.0,40.0,60.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=40,X=65,H=1",277,2003-07-01,2026-08-03,23.09,11.5435,-45.257,0.2924,0.191,0.4584,0.393,1.6218,-1.0791,3.0796,-1.7594,3.7,98.19,222.0,,1.0,40.0,65.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=40,X=70,H=1",277,2003-07-01,2026-08-03,23.09,11.9938,-44.322,0.7427,0.483,0.9087,0.746,2.1111,-0.6685,3.0924,-0.9859,3.31,98.56,214.0,,1.0,40.0,70.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=40,X=75,H=1",277,2003-07-01,2026-08-03,23.09,12.1103,-45.348,0.8592,0.55,1.0252,0.829,1.3315,0.3678,2.4638,-0.3235,2.93,99.28,200.0,,1.0,40.0,75.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=40,X=80,H=1",277,2003-07-01,2026-08-03,23.09,12.4036,-46.365,1.1524,0.788,1.3185,1.136,1.9266,0.3496,2.4478,0.2018,2.53,99.64,185.0,,1.0,40.0,80.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=40,X=85,H=1",277,2003-07-01,2026-08-03,23.09,12.1208,-46.714,0.8697,0.628,1.0358,1.002,1.8125,-0.1064,2.3942,-0.2538,2.13,99.64,174.0,,1.0,40.0,85.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=40,X=90,H=1",277,2003-07-01,2026-08-03,23.09,12.2088,-46.231,0.9576,0.717,1.1237,1.253,2.2919,-0.4188,3.1117,-0.6256,1.57,100.0,148.0,,1.0,40.0,90.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=40,X=95,H=1",277,2003-07-01,2026-08-03,23.09,11.6539,-46.27,0.4027,0.275,0.5688,0.877,1.6446,-0.8794,2.1288,-0.8754,0.92,100.0,109.0,,1.0,40.0,95.0
主窗,ey_lag,買便宜,1M,wilder,甲,"N=1,H=2",277,2003-07-01,2026-08-03,23.09,12.762,-57.258,1.5109,0.769,1.6769,0.857,1.168,1.8691,1.9931,1.1693,3.96,100.0,92.0,1.0,2.0,,
主窗,ey_lag,買便宜,1M,wilder,甲,"N=2,H=2",277,2003-07-01,2026-08-03,23.09,14.0404,-51.696,2.7893,1.447,2.9553,1.707,4.1722,1.3631,5.3353,0.9476,3.6,100.0,139.0,2.0,2.0,,
主窗,ey_lag,買便宜,1M,wilder,甲,"N=3,H=2",277,2003-07-01,2026-08-03,23.09,12.0392,-49.92,0.7881,0.621,0.9541,0.885,1.5905,-0.0439,2.8114,-0.7022,3.19,100.0,139.0,3.0,2.0,,
主窗,ey_lag,買便宜,1M,wilder,乙,"E=5,X=50,H=2",277,2003-07-01,2026-08-03,23.09,6.3924,-56.517,-4.8587,-1.833,-4.6927,-1.693,-6.6103,-2.9922,-4.5641,-5.1443,1.82,63.18,89.0,,2.0,5.0,50.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=5,X=55,H=2",277,2003-07-01,2026-08-03,23.09,6.8443,-55.722,-4.4068,-1.675,-4.2408,-1.539,-5.6676,-3.0696,-3.4125,-5.2099,1.79,64.26,88.0,,2.0,5.0,55.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=5,X=60,H=2",277,2003-07-01,2026-08-03,23.09,7.8296,-52.156,-3.4215,-1.324,-3.2555,-1.187,-4.8863,-1.8666,-2.4562,-4.1901,1.83,67.15,89.0,,2.0,5.0,60.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=5,X=65,H=2",277,2003-07-01,2026-08-03,23.09,7.5999,-51.943,-3.6513,-1.443,-3.4852,-1.3,-4.3052,-2.9614,-1.7439,-5.1181,1.82,70.4,90.0,,2.0,5.0,65.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=5,X=70,H=2",277,2003-07-01,2026-08-03,23.09,6.6327,-51.943,-4.6185,-1.857,-4.4524,-1.701,-6.4887,-2.6238,-4.4157,-4.8318,1.71,71.48,88.0,,2.0,5.0,70.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=5,X=75,H=2",277,2003-07-01,2026-08-03,23.09,7.006,-53.749,-4.2452,-1.696,-4.0791,-1.536,-7.3399,-0.9072,-5.4484,-3.382,1.62,76.53,86.0,,2.0,5.0,75.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=5,X=80,H=2",277,2003-07-01,2026-08-03,23.09,8.1733,-53.749,-3.0778,-1.264,-2.9118,-1.113,-5.5241,-0.4582,-3.9283,-2.4714,1.52,79.06,87.0,,2.0,5.0,80.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=5,X=85,H=2",277,2003-07-01,2026-08-03,23.09,9.2096,-51.477,-2.0415,-0.84,-1.8754,-0.711,-4.4125,0.4936,-2.5707,-1.6673,1.42,83.39,87.0,,2.0,5.0,85.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=5,X=90,H=2",277,2003-07-01,2026-08-03,23.09,10.0148,-48.186,-1.2363,-0.515,-1.0703,-0.392,-3.061,0.7034,-1.2671,-1.2296,1.19,88.45,74.0,,2.0,5.0,90.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=5,X=95,H=2",277,2003-07-01,2026-08-03,23.09,11.8814,-44.568,0.6303,0.397,0.7963,0.59,0.822,0.4302,1.4305,0.0394,0.91,98.56,66.0,,2.0,5.0,95.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=50,H=2",277,2003-07-01,2026-08-03,23.09,8.6459,-51.879,-2.6052,-1.152,-2.4391,-1.084,-4.3956,-0.7003,-0.2995,-4.3485,2.75,77.26,139.0,,2.0,10.0,50.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=55,H=2",277,2003-07-01,2026-08-03,23.09,9.0268,-50.456,-2.2243,-0.996,-2.0583,-0.922,-3.6487,-0.7144,0.6307,-4.3602,2.67,77.26,139.0,,2.0,10.0,55.0
