weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
0.0,0.3,0.3,0.4,monthly,3.0412274616330217,0.1277164480392532,-0.3509415904270018,0.9746835443037974,64.46692319610413,0.7404301325719898,1546.4430379746836,0.12025872532499153,-0.06195321890768768,-0.010803236842866548,run-24fe68333b8e6fc5,420,237,2929,2015-01-02,2026-08-26,True,0.0516
0.0,0.3,0.3,0.4,quarterly,3.069952794793716,0.12840410935648938,-0.35008967060823004,0.9846153846153847,240.08278885119293,0.7455968057544474,1484.6923076923076,0.0830700345668844,-0.06126555759045149,-0.01011557552563036,run-891140e9eb212ddb,141,65,2929,2015-01-02,2026-08-26,True,0.0333
0.0,0.3,0.4,0.3,monthly,3.2504131311569253,0.1326253745635242,-0.35183952380135886,0.9746835443037974,58.069814155597314,0.7525696404464121,1539.5274261603377,0.1221758820588478,-0.057044292383416684,-0.0058943103185955525,run-244d73b8f9653a12,420,237,2929,2015-01-02,2026-08-26,True,0.0559
0.0,0.3,0.4,0.3,quarterly,3.277808519437226,0.1332518244015739,-0.3509915729479468,0.9846153846153847,295.2557869986026,0.7571148464281151,1509.7692307692307,0.0829020592433963,-0.05641784254536697,-0.0052678604805458384,run-e920203641bd1976,141,65,2929,2015-01-02,2026-08-26,True,0.0331
0.0,0.3,0.5,0.2,monthly,3.463807888658552,0.13741061292532164,-0.35288250697106593,0.9755102040816327,49.42900588132356,0.7592298870887518,1547.0653061224489,0.11979911435420552,-0.05225905402161923,-0.0011090719567981022,run-5b59fcd67aab421d,420,245,2929,2015-01-02,2026-08-26,True,0.0599
0.0,0.3,0.5,0.2,quarterly,3.486880575098139,0.13791540877950448,-0.35202302509290506,0.9841269841269841,400.22773627393116,0.7628872419499453,1510.904761904762,0.07970616585949246,-0.051754258167436396,-0.0006042761026152643,run-e12b8e5508682189,141,63,2929,2015-01-02,2026-08-26,True,0.0345
0.0,0.3,0.6,0.1,monthly,3.6809717542198825,0.14207034351799797,-0.35392375752791416,0.9768339768339769,39.37655480758784,0.7613020182783377,1560.3088803088804,0.11254809055584986,-0.04759932342894291,0.0035506586358782233,run-36b21f030998f96f,420,259,2929,2015-01-02,2026-08-26,True,0.0559
0.0,0.3,0.6,0.1,quarterly,3.696507736663503,0.14239608062956677,-0.3530484577555869,0.984375,643.0384297042923,0.763872409435659,1505.9375,0.07311564873355644,-0.047273586317374106,0.0038763957474470256,run-eb513e8f9ffc68e2,141,64,2929,2015-01-02,2026-08-26,True,0.0308
0.0,0.3,0.7,0.0,monthly,3.9014222575953,0.14660272406457797,-0.35496328321615445,0.9772727272727273,31.043174547165926,0.7596585514773535,1464.8011363636363,0.10097346694496456,-0.0430669428823629,0.00808303918245823,run-695f204eeb53c8f2,280,176,2929,2015-01-02,2026-08-26,True,0.0343
0.0,0.3,0.7,0.0,quarterly,3.9059994246278746,0.1466948393753913,-0.3540679234765949,1.0,,0.7609710649308741,1476.4130434782608,0.06330708026118846,-0.04297482757154958,0.008175154493271553,run-890c988df0bc7dfb,94,46,2929,2015-01-02,2026-08-26,True,0.0259
0.0,0.4,0.0,0.6,monthly,2.5497321429153836,0.1152003538332238,-0.35406431228687607,0.975,80.00322473512173,0.6705366003210298,1586.15,0.1044942537854943,-0.07446931311371707,-0.02331933104889594,run-e65b5a57be4414b3,280,160,2929,2015-01-02,2026-08-26,True,0.0539
0.0,0.4,0.0,0.6,quarterly,2.5693706521422306,0.11573001707084907,-0.35309886075770724,0.9782608695652174,174.06173424045954,0.6750702024996879,1476.4130434782608,0.07382131985947857,-0.0739396498760918,-0.022789667811270675,run-dfed8ddd5aa374dc,94,46,2929,2015-01-02,2026-08-26,True,0.0338
0.0,0.4,0.1,0.5,monthly,2.7475499857124617,0.12041754799473714,-0.35493277374742105,0.9803149606299213,54.68119631754711,0.7004972327267605,1566.732283464567,0.11271106192988155,-0.06925211895220373,-0.018102136887382603,run-f6ad8107a29d2c32,420,254,2929,2015-01-02,2026-08-26,True,0.0342
0.0,0.4,0.1,0.5,quarterly,2.771623161364513,0.12103517150987142,-0.353961536857595,0.9859154929577465,144.49397276010833,0.7054739346733139,1443.1690140845071,0.079410977183145,-0.06863449543706945,-0.017484513372248323,run-953222514c346b38,141,71,2929,2015-01-02,2026-08-26,True,0.031
0.0,0.4,0.2,0.4,monthly,2.950547058098799,0.1255159338391758,-0.35580048434926936,0.9752066115702479,60.57001189463886,0.7234633744479394,1585.2314049586778,0.11913597776720958,-0.06415373310776507,-0.013003751042943934,run-5a1fd953fff686e4,420,242,2929,2015-01-02,2026-08-26,True,0.0567
0.0,0.4,0.2,0.4,quarterly,2.9766335581979115,0.12615365782177057,-0.35481957192555036,0.9857142857142858,183.6204365992928,0.7283584739974116,1428.8,0.08231685524564825,-0.0635160091251703,-0.012366027060349172,run-a6d11b87ad8ef6cf,141,70,2929,2015-01-02,2026-08-26,True,0.0302
0.0,0.4,0.3,0.3,monthly,3.158391107155201,0.1304937455092099,-0.3566674468607137,0.9741379310344828,56.028524655773204,0.7398114760191131,1569.5043103448277,0.1233116388738018,-0.05917592143773098,-0.008025939372909852,run-d87a2929669a38ce,420,232,2929,2015-01-02,2026-08-26,True,0.0266
0.0,0.4,0.3,0.3,quarterly,3.1838259221590395,0.1310872035798294,-0.355673003312894,0.9848484848484849,249.71921996442364,0.7442376353357293,1439.3030303030303,0.08349469655519896,-0.05858246336711148,-0.00743248130229035,run-dfd7b8d6800ca865,141,66,2929,2015-01-02,2026-08-26,True,0.0279
0.0,0.4,0.4,0.2,monthly,3.370707927660514,0.1353491965856639,-0.35758433525252176,0.9739130434782609,49.88305450103085,0.7502657341833611,1565.513043478261,0.12417107614595561,-0.05432047036127696,-0.003170488296455831,run-933e1d726218ee9b,420,230,2929,2015-01-02,2026-08-26,True,0.0284
0.0,0.4,0.4,0.2,quarterly,3.3925895490739055,0.13583728118391236,-0.3565912992505178,0.9848484848484849,343.24976493612684,0.753930050093327,1492.621212121212,0.08216579680761797,-0.05383238576302851,-0.0026824036982073807,run-853d0be0d0087edb,141,66,2929,2015-01-02,2026-08-26,True,0.0308
0.0,0.4,0.5,0.1,monthly,3.587080888059238,0.14008047943817048,-0.35862133060456414,0.9757085020242915,39.8405930793747,0.755712949979216,1629.408906882591,0.12067028164382894,-0.049589187508770394,0.0015607945560507375,run-2b4bce7a8f9683f2,420,247,2929,2015-01-02,2026-08-26,True,0.0578
