tier,silent,direction,field,horizon,bench,period,n,clusters,mean_diff,t,mean_resid,mean_ctrl
0.02,False,down,net_income,12,spy,2017-2026,90,18,0.02437,0.301,0.04431,0.01994
0.02,False,down,cfo,3,sector,all,32,13,0.045,0.496,0.06892,0.02392
0.02,False,down,cfo,3,sector,2009-2016,5,5,0.50026,1.644,0.50827,0.008
0.02,False,down,cfo,3,sector,2017-2026,27,8,-0.03931,-0.666,-0.01244,0.02687
0.02,False,down,cfo,3,spy,all,32,13,0.045,0.496,0.04187,-0.00313
0.02,False,down,cfo,3,spy,2009-2016,5,5,0.50026,1.644,0.48904,-0.01123
0.02,False,down,cfo,3,spy,2017-2026,27,8,-0.03931,-0.666,-0.04094,-0.00163
0.02,False,down,cfo,6,sector,all,32,13,0.02851,0.177,0.07586,0.04735
0.02,False,down,cfo,6,sector,2009-2016,5,5,0.8066,1.164,0.83869,0.03209
0.02,False,down,cfo,6,sector,2017-2026,27,8,-0.11558,-1.436,-0.06541,0.05018
0.02,False,down,cfo,6,spy,all,32,13,0.02851,0.177,0.01779,-0.01072
0.02,False,down,cfo,6,spy,2009-2016,5,5,0.8066,1.164,0.83176,0.02516
0.02,False,down,cfo,6,spy,2017-2026,27,8,-0.11558,-1.436,-0.13295,-0.01736
0.02,False,down,cfo,12,sector,all,32,13,-0.0754,-0.379,0.03616,0.11156
0.02,False,down,cfo,12,sector,2009-2016,5,5,1.08175,1.539,1.14682,0.06507
0.02,False,down,cfo,12,sector,2017-2026,27,8,-0.28969,-3.229,-0.16952,0.12017
0.02,False,down,cfo,12,spy,all,32,13,-0.0754,-0.379,-0.06049,0.01491
0.02,False,down,cfo,12,spy,2009-2016,5,5,1.08175,1.539,1.12164,0.03989
0.02,False,down,cfo,12,spy,2017-2026,27,8,-0.28969,-3.229,-0.2794,0.01029
0.02,False,down,assets,3,sector,all,7,3,0.09378,4.754,0.03522,-0.05855
0.02,False,down,assets,3,sector,2009-2016,1,0,,,0.23993,0.03467
0.02,False,down,assets,3,sector,2017-2026,6,2,0.0752,9.622,0.00111,-0.07409
0.02,False,down,assets,3,spy,all,7,3,0.09378,4.754,0.20439,0.11062
0.02,False,down,assets,3,spy,2009-2016,1,0,,,0.24852,0.04326
0.02,False,down,assets,3,spy,2017-2026,6,2,0.0752,9.622,0.19704,0.12184
0.02,False,down,assets,6,sector,all,7,3,-0.04167,-0.483,-0.06528,-0.02361
0.02,False,down,assets,6,sector,2009-2016,1,0,,,0.28658,0.00956
0.02,False,down,assets,6,sector,2017-2026,6,2,-0.09479,-1.476,-0.12393,-0.02914
0.02,False,down,assets,6,spy,all,7,3,-0.04167,-0.483,0.06385,0.10553
0.02,False,down,assets,6,spy,2009-2016,1,0,,,0.30347,0.02645
0.02,False,down,assets,6,spy,2017-2026,6,2,-0.09479,-1.476,0.02391,0.1187
0.02,False,down,assets,12,sector,all,3,2,-0.05858,-0.26,0.11201,0.17059
0.02,False,down,assets,12,sector,2009-2016,1,0,,,0.50939,0.09061
0.02,False,down,assets,12,sector,2017-2026,2,1,-0.29727,,-0.08669,0.21058
0.02,False,down,assets,12,spy,all,3,2,-0.05858,-0.26,0.09461,0.15319
0.02,False,down,assets,12,spy,2009-2016,1,0,,,0.54497,0.12618
0.02,False,down,assets,12,spy,2017-2026,2,1,-0.29727,,-0.13057,0.16669
0.02,False,up,ALL,3,sector,all,135,34,0.0185,0.552,0.02598,0.00748
0.02,False,up,ALL,3,sector,2009-2016,71,16,0.01237,0.289,0.01718,0.00481
0.02,False,up,ALL,3,sector,2017-2026,64,18,0.0253,0.487,0.03574,0.01044
0.02,False,up,ALL,3,spy,all,135,34,0.0185,0.552,0.02637,0.00787
0.02,False,up,ALL,3,spy,2009-2016,71,16,0.01237,0.289,0.019,0.00663
0.02,False,up,ALL,3,spy,2017-2026,64,18,0.0253,0.487,0.03455,0.00924
0.02,False,up,ALL,6,sector,all,135,34,0.01442,0.291,0.02696,0.01254
0.02,False,up,ALL,6,sector,2009-2016,71,16,0.00117,0.015,0.01449,0.01332
0.02,False,up,ALL,6,sector,2017-2026,64,18,0.02913,0.505,0.0408,0.01167
0.02,False,up,ALL,6,spy,all,135,34,0.01442,0.291,0.03345,0.01902
0.02,False,up,ALL,6,spy,2009-2016,71,16,0.00117,0.015,0.03228,0.03111
0.02,False,up,ALL,6,spy,2017-2026,64,18,0.02913,0.505,0.03475,0.00562
0.02,False,up,ALL,12,sector,all,135,34,0.06632,0.99,0.10061,0.03429
0.02,False,up,ALL,12,sector,2009-2016,71,16,0.14846,1.365,0.1497,0.00125
0.02,False,up,ALL,12,sector,2017-2026,64,18,-0.02481,-0.384,0.04614,0.07095
0.02,False,up,ALL,12,spy,all,135,34,0.06632,0.99,0.12387,0.05756
0.02,False,up,ALL,12,spy,2009-2016,71,16,0.14846,1.365,0.17965,0.03119
0.02,False,up,ALL,12,spy,2017-2026,64,18,-0.02481,-0.384,0.062,0.08681
0.02,False,up,revenue,3,sector,all,7,5,0.13666,3.393,0.14519,0.00853
0.02,False,up,revenue,3,sector,2009-2016,6,4,0.1335,2.801,0.14969,0.01619
0.02,False,up,revenue,3,sector,2017-2026,1,0,,,0.11822,-0.03743
0.02,False,up,revenue,3,spy,all,7,5,0.13666,3.393,0.1323,-0.00436
0.02,False,up,revenue,3,spy,2009-2016,6,4,0.1335,2.801,0.14024,0.00675
0.02,False,up,revenue,3,spy,2017-2026,1,0,,,0.08464,-0.07101
0.02,False,up,revenue,6,sector,all,7,5,0.14525,1.872,0.16382,0.01857
0.02,False,up,revenue,6,sector,2009-2016,6,4,0.15172,1.71,0.17415,0.02243
0.02,False,up,revenue,6,sector,2017-2026,1,0,,,0.10188,-0.00456
0.02,False,up,revenue,6,spy,all,7,5,0.14525,1.872,0.16767,0.02242
0.02,False,up,revenue,6,spy,2009-2016,6,4,0.15172,1.71,0.18043,0.02872
0.02,False,up,revenue,6,spy,2017-2026,1,0,,,0.0911,-0.01534
