total_return,max_drawdown,sharpe_ratio,n_orders,n_trades,final_value,win_rate,n_break,rr_min,sec,n_entry_signals
2.7361751036219686,-0.22292879860482884,1.2001925274029197,3379,1702,3736175.1036219685,0.40540540540540543,20,1.75,0.29230930004268885,19993
3.341370185502854,-0.24221441413610634,1.3273257876754945,3665,1850,4341370.185502853,0.40594594594594596,25,1.75,0.32969119993504137,30492
3.602767827475434,-0.2058083002065314,1.3497406478375527,3526,1784,4602767.827475434,0.4204035874439462,30,1.75,0.3395975000457838,38539
3.6793411993018905,-0.20036424012874388,1.3828690009706357,3072,1558,4679341.199301891,0.40436456996148906,40,1.75,0.31106720003299415,49359
4.11578179279489,-0.1795586599373874,1.4735707308847668,2973,1510,5115781.792794891,0.40794701986754967,50,1.75,0.3023280999623239,56002
4.724000474181286,-0.14915896630545378,1.553115771018155,2569,1308,5724000.474181286,0.4151376146788991,60,1.75,0.2626980000641197,59285
2.198347504449852,-0.2611329547759147,1.036789685008775,1939,985,3198347.5044498523,0.3756345177664975,75,1.75,0.27310600003693253,61132
2.546517295681458,-0.21598442840954757,1.1437025103723755,1713,871,3546517.295681458,0.37543053960964407,90,1.75,0.2697451999410987,60997
2.558810757231405,-0.23312954811764952,1.130202186639483,1410,720,3558810.757231405,0.37083333333333335,120,1.75,0.2680854999925941,58697
0.0,0.0,inf,0,0,1000000.0,,5,2.0,0.26558609993662685,0
0.04699186192770279,-0.025333265694986618,0.3040188979027827,48,24,1046991.8619277028,0.4583333333333333,10,2.0,0.2500879999715835,24
2.86482395092054,-0.17620288735261025,1.320755497235634,2636,1327,3864823.95092054,0.3948756593820648,15,2.0,0.28769450006075203,3663
1.8743003352778669,-0.21181486315745857,0.956242136411259,2541,1283,2874300.3352778666,0.38347622759158223,20,2.0,0.29403009999077767,11106
2.1159471672823997,-0.24008591984321992,1.0297578939994496,2741,1384,3115947.1672823997,0.3880057803468208,25,2.0,0.312920100055635,18757
3.7529060754665453,-0.1868629944180621,1.396778382547045,3739,1888,4752906.075466545,0.3739406779661017,30,2.0,0.30475369992200285,25587
3.1717560543986307,-0.19332660766783805,1.266283180444601,2937,1487,4171756.0543986307,0.3705447209145931,40,2.0,0.2970239999704063,35910
2.8955544550784342,-0.2249414429297535,1.239264696694347,2691,1365,3895554.455078434,0.37362637362637363,50,2.0,0.31856990000233054,43314
3.348798860849361,-0.21795808752587364,1.3187889593532236,2239,1137,4348798.860849361,0.40281442392260336,60,2.0,0.29213610000442713,48004
2.5834170646249164,-0.2499693154781556,1.139666306056945,1978,1005,3583417.0646249163,0.3850746268656716,75,2.0,0.3079394999658689,51863
2.7277195486480625,-0.19290620822974736,1.1752032443240283,1898,967,3727719.5486480626,0.3733195449844881,90,2.0,0.6802711000200361,53566
1.992526081752485,-0.2241010809548879,1.000895859013863,1453,739,2992526.081752485,0.34641407307171856,120,2.0,0.2898710999870673,53795
