日期,舊來源(yfinance),新來源(Cboe),絕對差,相對差
2018-08-02,14.760000228881836,14.76,2.2888183615066282e-07,1.550689922773816e-08
2018-08-03,14.489999771118164,14.49,2.2888183615066282e-07,1.5795848155006595e-08
2018-08-06,14.229999542236328,14.23,4.5776367230132564e-07,3.216891686768005e-08
2018-08-07,13.930000305175781,13.93,3.051757815342171e-07,2.1907808675411663e-08
2018-08-08,13.960000038146973,13.96,3.814697180359872e-08,2.732591095942596e-09
2018-08-09,14.130000114440918,14.13,1.1444091718715299e-07,8.099144816721827e-09
2018-08-10,15.220000267028809,15.22,2.6702880795426154e-07,1.754459942636978e-08
2018-08-13,16.209999084472656,16.21,9.155273446026513e-07,5.6479173122201024e-08
2018-08-14,15.350000381469727,15.35,3.8146972691777137e-07,2.485144739007795e-08
2018-08-15,16.190000534057617,16.19,5.340576159085231e-07,3.29868806850913e-08
2018-08-16,15.510000228881836,15.51,2.2888183615066282e-07,1.4757049179435352e-08
2018-08-17,15.170000076293945,15.17,7.629394538355427e-08,5.029264667096363e-09
2018-08-20,15.0,15.0,0.0,0.0
2018-08-21,15.1899995803833,15.19,4.196166987213701e-07,2.762453655780691e-08
2018-08-22,15.079999923706055,15.08,7.629394538355427e-08,5.059280223444743e-09
2018-08-23,15.0600004196167,15.06,4.196166987213701e-07,2.7862993826666173e-08
2018-08-24,14.819999694824219,14.82,3.051757815342171e-07,2.0592158422297243e-08
2018-08-27,14.789999961853027,14.79,3.814697180359872e-08,2.5792408317774813e-09
2018-08-28,15.109999656677246,15.11,3.433227533378158e-07,2.2721559307653482e-08
2018-08-29,14.949999809265137,14.95,1.9073486257070726e-07,1.2758184950109561e-08
2018-08-30,15.539999961853027,15.54,3.814697180359872e-08,2.454760096347515e-09
2018-08-31,15.149999618530273,15.15,3.8146972691777137e-07,2.5179520562574005e-08
2018-09-04,15.449999809265137,15.45,1.9073486257070726e-07,1.2345298700672241e-08
2018-09-05,15.920000076293945,15.92,7.629394538355427e-08,4.792333229769364e-09
2018-09-06,16.34000015258789,16.34,1.5258789076710855e-07,9.33830412130945e-09
2018-09-07,16.59000015258789,16.59,1.5258789076710855e-07,9.197582240124707e-09
2018-09-10,16.170000076293945,16.17,7.629394360719743e-08,4.718240151343493e-09
2018-09-11,15.539999961853027,15.54,3.814697180359872e-08,2.454760096347515e-09
2018-09-12,15.319999694824219,15.32,3.051757815342171e-07,1.9920090575283702e-08
2018-09-13,14.770000457763672,14.77,4.5776367230132564e-07,3.0992800143124415e-08
2018-09-14,14.369999885559082,14.37,1.1444091718715299e-07,7.963877390295507e-09
2018-09-17,15.279999732971191,15.28,2.6702880795426154e-07,1.747570763224993e-08
2018-09-18,15.039999961853027,15.04,3.814697180359872e-08,2.536367812523502e-09
2018-09-19,14.649999618530273,14.65,3.8146972691777137e-07,2.603888988742796e-08
2018-09-20,14.510000228881836,14.51,2.2888183615066282e-07,1.5774075295676326e-08
2018-09-21,14.579999923706055,14.58,7.629394538355427e-08,5.232780917886404e-09
2018-09-24,14.770000457763672,14.77,4.5776367230132564e-07,3.0992800143124415e-08
2018-09-25,14.920000076293945,14.92,7.629394538355427e-08,5.1135351872267095e-09
2018-09-26,15.149999618530273,15.15,3.8146972691777137e-07,2.5179520562574005e-08
2018-09-27,14.890000343322754,14.89,3.433227533378158e-07,2.305726967237948e-08
2018-09-28,14.770000457763672,14.77,4.5776367230132564e-07,3.0992800143124415e-08
2018-10-01,14.739999771118164,14.74,2.2888183615066282e-07,1.5527940278475325e-08
2018-10-02,14.84000015258789,14.84,1.5258789076710855e-07,1.0282202776156935e-08
2018-10-03,14.680000305175781,14.68,3.051757815342171e-07,2.078854054428188e-08
2018-10-04,15.84000015258789,15.84,1.5258789076710855e-07,9.633073819268821e-09
2018-10-05,16.25,16.25,0.0,0.0
2018-10-08,16.510000228881836,16.51,2.2888183437430598e-07,1.386322417936195e-08
2018-10-09,16.6299991607666,16.63,8.392333974427402e-07,5.046502945247615e-08
2018-10-10,20.700000762939453,20.7,7.629394538355427e-07,3.6856977087724674e-08
2018-10-11,21.559999465942383,21.56,5.340576159085231e-07,2.477076201936629e-08
2018-10-12,19.84000015258789,19.84,1.5258789076710855e-07,7.690921854514465e-09
2018-10-15,20.290000915527344,20.29,9.155273446026513e-07,4.512209479014981e-08
2018-10-16,17.959999084472656,17.96,9.155273446026513e-07,5.0975912654370444e-08
2018-10-17,18.100000381469727,18.1,3.8146972514141453e-07,2.107567497799351e-08
2018-10-18,19.860000610351562,19.86,6.103515630684342e-07,3.073270615864446e-08
2018-10-19,19.84000015258789,19.84,1.5258789076710855e-07,7.690921854514465e-09
2018-10-22,19.81999969482422,19.82,3.051757815342171e-07,1.539736560207468e-08
2018-10-23,20.280000686645508,20.28,6.866455066756316e-07,3.385825855162774e-08
2018-10-24,22.6200008392334,22.62,8.392333974427402e-07,3.710138666251182e-08
2018-10-25,22.440000534057617,22.44,5.340576159085231e-07,2.3799358431296543e-08
2018-10-26,22.479999542236328,22.48,4.5776367230132564e-07,2.0363153097101307e-08
2018-10-29,23.059999465942383,23.06,5.340576159085231e-07,2.3159480844623602e-08
2018-10-30,22.229999542236328,22.23,4.5776367230132564e-07,2.0592158422297243e-08
2018-10-31,21.149999618530273,21.15,3.8146972514141453e-07,1.8036393949019046e-08
2018-11-01,20.06999969482422,20.07,3.051757815342171e-07,1.520556981437911e-08
2018-11-02,20.299999237060547,20.3,7.629394538355427e-07,3.758322573937283e-08
