date,Open,High,Low,Close
2023-01-18,134.4206954359,136.1792989256,132.6620769549,132.8389282227
2023-01-19,131.7287689369,133.8607139211,131.4242075093,132.8979034424
2023-01-20,132.9076930290,135.5996490630,131.8662838673,135.4522705078
2023-01-23,135.6979103036,140.8067346229,135.4817670443,138.6354827881
2023-01-24,137.8494775115,140.6495050156,137.8396582714,140.0305480957
2023-01-25,138.4193385279,139.9323263405,136.3758118131,139.3723297119
2023-01-26,140.6593159193,141.7203784372,139.4115829134,141.4354705811
2023-01-27,140.6495121463,144.6481317593,140.5709132484,143.3709259033
2023-01-30,142.4179604928,142.9976105428,140.3449612541,140.4923248291
2023-01-31,140.1975604599,141.8088002532,139.7849275241,141.7596740723
2023-02-01,141.4453109896,144.0390147578,138.8417879804,142.8796997070
2023-02-02,146.2888727426,148.5288892970,145.5716782734,148.1752166748
2023-02-03,145.4341077506,154.6201498120,145.2376179988,151.7906494141
2023-02-06,149.8945101166,150.4152147346,148.1358915083,149.0692291260
2023-02-07,147.9982998169,152.5078036467,147.9982998169,151.9379730225
2023-02-08,151.1814945118,151.8692159924,148.5190117191,149.2558593750
2023-02-09,151.0832773681,151.6236354399,147.7821985009,148.2243041992
2023-02-10,147.0632318138,148.9130734936,146.8270751036,148.5883636475
2023-02-13,148.5293538400,151.7862720813,148.4998361229,151.3828582764
2023-02-14,149.6805728781,151.3041222046,148.4407838585,150.7432556152
2023-02-15,150.6547103127,153.0063833861,150.4284028242,152.8391113281
2023-02-16,151.0482818930,153.8230670958,150.8908590911,151.2450866699
2023-02-17,149.9068937109,150.5464641871,148.4309479835,150.1036834717
2023-02-21,147.7913723282,148.8737386059,146.0300835825,146.0989532471
2023-02-22,146.4826667367,147.5453493019,144.8000972690,146.5220336914
2023-02-23,147.6831029810,147.9290938974,144.8788155422,147.0041656494
2023-02-24,144.7509098220,144.8296287247,143.3832007915,144.3573303223
2023-02-27,145.3413038601,146.7778826433,145.0854636555,145.5479278564
2023-02-28,144.6918692590,146.6893144264,144.4753960376,145.0460968018
2023-03-01,144.4754113339,144.8689908613,142.6845899519,142.9797821045
2023-03-02,142.0647267152,144.3573646302,141.5924131864,143.5701904297
2023-03-03,145.6660053547,148.6867816558,144.9673994118,148.6080627441
2023-03-06,151.3238074730,153.7935665673,150.9991125858,151.3631744385
2023-03-07,151.2352297209,151.5599395694,148.7064506180,149.1689147949
2023-03-08,150.3595131554,151.0089328982,149.3952327886,150.4185485840
2023-03-09,151.0974836456,152.0617639970,147.8208822832,148.1751098633
2023-03-10,147.8012065019,148.5194958598,145.2428946596,146.1186218262
2023-03-13,145.4397199642,150.6842500131,145.3314833211,148.0570678711
2023-03-14,148.8540456850,150.9400441817,147.6929755827,150.1430358887
2023-03-15,148.7654984016,150.7924615511,147.5158600955,150.5366363525
2023-03-16,149.7199698999,153.9510182174,149.2083044021,153.3507995605
2023-03-17,153.5770563789,154.2264760255,151.8059187129,152.5143737793
2023-03-20,152.5832927984,155.2891935876,151.6780327765,154.8759155273
2023-03-21,154.7972082038,156.8438399066,154.0297025476,156.7257690430
2023-03-22,156.7454392444,159.5398928847,155.2793277502,155.2990112305
2023-03-23,156.2829907906,158.9593738468,155.1514232772,156.3813781738
2023-03-24,156.3125274065,157.7687899763,155.3187291349,157.6802368164
2023-03-27,157.3751434631,158.1918350678,155.3383315671,155.7417602539
2023-03-28,155.4367781198,155.9484435506,153.4786845584,155.1219024658
2023-03-29,156.8143056880,158.4673726760,156.7946372222,158.1918640137
2023-03-30,158.9396863414,159.8646148026,158.6838611345,159.7563781738
2023-03-31,159.8350728342,162.3540176143,159.3135732515,162.2556152344
