lookback_months,mode,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
9,rank,monthly,-1.508396134419776e-05,560,普通,2,2,0.00042249296021893795,0.0006412814210005058,-0.0004375769215631357,-0.03570227853354332,False,mode=rank、cadence=monthly,3,-0.003630401112074688,0.004052894072293626
9,rank,quarterly,-0.004437117179479255,188,普通,2,2,-0.003630401112074688,-0.0032270430783724047,-0.000806716067404567,,False,mode=rank、cadence=quarterly,3,0.00042249296021893795,-0.004052894072293626
10,winner,monthly,0.01299129275531663,88,普通,2,2,0.01594893902628162,0.017427762161764115,-0.0029576462709649913,0.8145552963685418,False,mode=winner、cadence=monthly,3,-0.0027129180499216865,0.018661857076203308
10,winner,quarterly,0.0011648600046805235,50,普通,2,2,0.0004969567054990964,0.00016300505590838288,0.0006679032991814271,2.3439868942117363,False,mode=winner、cadence=quarterly,3,-0.0027129180499216865,0.003209874755420783
10,rank,monthly,0.002794832813065362,560,普通,2,2,0.0013264819423265035,0.0005923065069570743,0.0014683508707388586,2.1069512700365394,True,mode=rank、cadence=monthly,3,-0.0027129180499216865,0.00403939999224819
10,rank,quarterly,-0.0003499100766266583,188,普通,2,2,-0.0027129180499216865,-0.0038944220365692006,0.002363007973295028,,True,mode=rank、cadence=quarterly,3,0.0004969567054990964,-0.003209874755420783
11,winner,monthly,0.007100467957115608,82,普通,2,2,0.012997630485893641,0.015946211750282657,-0.005897162528778033,0.5462894151993136,False,mode=winner、cadence=monthly,3,-0.0032767092440661263,0.01627433972995977
11,winner,quarterly,-0.0008388498928637578,50,普通,2,2,-0.0009394305237378683,-0.0009897208391749235,0.00010058063087411051,,False,mode=winner、cadence=quarterly,3,-0.0032767092440661263,0.002337278720328258
11,rank,monthly,0.0011996969752583464,560,普通,2,2,0.0010696072019823848,0.0010045623153444039,0.0001300897732759616,1.1216238756011143,False,mode=rank、cadence=monthly,3,-0.0032767092440661263,0.004346316446048511
11,rank,quarterly,-0.003351726893659146,188,普通,2,2,-0.0032767092440661263,-0.0032392004192696167,-7.50176495930197e-05,,False,mode=rank、cadence=quarterly,3,-0.0009394305237378683,-0.002337278720328258
12,winner,monthly,0.018901130745248684,90,孤峰,2,2,0.013655520156368986,0.011032714861929138,0.005245610588879698,1.3841384677267767,True,mode=winner、cadence=monthly,3,-0.004565705089419374,0.01822122524578836
