cik,status,bytes,detail
0000927653,ok,4333890.0,
0000929887,ok,1905070.0,
0000935703,ok,2970211.0,
0000936340,ok,5013393.0,
0000936395,ok,3719653.0,
0000936468,ok,3380288.0,
0000940944,ok,4175015.0,
0000941548,ok,1761247.0,
0000943452,ok,4158876.0,
0000943819,ok,3425843.0,
0000945764,ok,3043838.0,
0000945841,ok,2970271.0,
0000946581,ok,3317337.0,
0000947484,ok,5066221.0,
0001000180,ok,1610590.0,
0001000228,ok,4076915.0,
0001000697,ok,4401557.0,
0001001250,ok,3862713.0,
0001002047,ok,4278373.0,
0001002910,ok,4152605.0,
0001004434,ok,3458414.0,
0001004980,ok,3313889.0,
0001013237,ok,3836507.0,
0001013462,ok,3246828.0,
0001013761,failed,,HTTP 404 (no such document)
0001013871,ok,5098815.0,
0001014473,ok,3335619.0,
0001015780,ok,3770119.0,
0001018724,ok,4477763.0,
0001018840,ok,3242593.0,
0001018963,ok,4309114.0,
0001020569,ok,4688101.0,
0001021860,ok,4127097.0,
0001022079,ok,4149346.0,
0001022671,ok,3260937.0,
0001024305,ok,4056918.0,
0001024478,ok,4112455.0,
0001031296,ok,4500092.0,
0001032033,ok,5170483.0,
0001032208,ok,5087076.0,
0001034054,ok,4031191.0,
0001035002,ok,4141979.0,
0001035267,ok,4148152.0,
0001035443,ok,3949841.0,
0001035983,ok,3165569.0,
0001037038,ok,4074172.0,
0001037540,ok,4395080.0,
0001037646,ok,3649530.0,
0001037868,ok,3625250.0,
0001038357,ok,3519931.0,
0001039684,ok,4354115.0,
0001040971,ok,4516587.0,
0001041061,ok,3684493.0,
0001043277,ok,3251409.0,
0001043604,ok,4542601.0,
0001045609,ok,3564170.0,
0001045810,ok,4092966.0,
0001047122,ok,3120980.0,
0001047862,ok,4133552.0,
0001048286,ok,3269111.0,
0001048695,ok,3541838.0,
0001048911,ok,3513141.0,
0001050915,ok,4747016.0,
0001051470,ok,3822923.0,
0001053507,ok,4852604.0,
0001054374,ok,1425039.0,
0001057352,ok,3409046.0,
0001058090,ok,3012708.0,
0001058290,ok,3708102.0,
0001059556,ok,5263162.0,
0001060391,ok,4889452.0,
0001063761,ok,3263155.0,
0001065088,ok,4107528.0,
0001065280,ok,3592813.0,
0001065696,ok,4041062.0,
0001065865,ok,1378909.0,
0001067701,ok,2805390.0,
0001067983,ok,2797863.0,
0001069183,ok,3386488.0,
0001069202,ok,4266684.0,
0001070412,ok,5369488.0,
0001070750,ok,2963060.0,
0001071739,ok,3887314.0,
0001075531,ok,3354279.0,
0001086222,ok,3881335.0,
0001087423,ok,2484030.0,
0001090012,ok,5068693.0,
0001090727,ok,4010678.0,
0001090872,ok,5055055.0,
0001091667,ok,3211294.0,
0001093557,ok,3044975.0,
0001094285,ok,3567445.0,
0001095073,ok,4665003.0,
0001097149,ok,3304311.0,
0001097864,ok,4623403.0,
0001099219,ok,9240150.0,
0001099800,ok,4072206.0,
0001100682,ok,4702065.0,
0001101239,ok,4860019.0,
0001103982,ok,4424102.0,
0001108524,ok,4728156.0,
0001109357,ok,5355142.0,
0001110803,ok,3583861.0,
0001111711,ok,4928709.0,
0001111928,ok,3541929.0,
0001113169,ok,2969556.0,
0001116132,ok,3860830.0,
0001120193,ok,4265891.0,
0001121788,ok,3717394.0,
0001123360,ok,4102359.0,
0001124198,ok,3820588.0,
0001126328,ok,5209023.0,
0001130310,ok,4247126.0,
0001133421,ok,3655840.0,
0001135971,ok,1647136.0,
0001136869,ok,4177232.0,
0001136893,ok,4428829.0,
0001137411,ok,2418721.0,
0001137774,ok,6701628.0,
0001137789,ok,3709925.0,
0001138118,ok,4279716.0,
0001140536,ok,5025456.0,
0001140859,ok,3903114.0,
0001141391,ok,4133615.0,
0001144215,ok,3465775.0,
0001145197,ok,3472092.0,
0001156039,ok,5999303.0,
0001156375,ok,4181433.0,
0001158449,ok,3494659.0,
0001163165,ok,4981846.0,
0001163739,ok,4466735.0,
0001164727,ok,5741373.0,
0001166691,ok,3756222.0,
0001168054,ok,2357595.0,
0001170010,ok,4114028.0,
0001174922,ok,3785113.0,
0001175454,ok,3768777.0,
0001176948,ok,1455574.0,
0001179929,ok,3741092.0,
0001260221,ok,3329571.0,
0001262039,ok,3463614.0,
0001267238,ok,4952081.0,
0001274057,ok,1280417.0,
0001274494,ok,4716981.0,
0001275283,ok,1945129.0,
0001276520,ok,6834303.0,
0001278021,ok,3421404.0,
0001279363,ok,1790452.0,
0001280452,ok,3535560.0,
0001281761,ok,6634151.0,
0001283699,ok,4489461.0,
0001285785,ok,4462479.0,
0001286681,ok,2916228.0,
0001288784,failed,,HTTP 404 (no such document)
0001289490,ok,3423532.0,
0001297996,ok,3707577.0,
0001300514,ok,3623714.0,
0001306830,ok,5402252.0,
0001316835,ok,2833447.0,
0001318605,ok,3641344.0,
0001321655,ok,1247305.0,
0001324404,ok,4101859.0,
0001324424,ok,3468129.0,
0001326160,ok,5349280.0,
0001326380,ok,3435450.0,
0001326801,ok,2746680.0,
0001327567,ok,3084876.0,
0001327811,ok,3342756.0,
0001335258,ok,3656744.0,
0001336917,ok,3186274.0,
0001336920,ok,4043826.0,
0001339947,ok,2567770.0,
0001341439,ok,3914974.0,
0001352010,ok,2921586.0,
0001365135,ok,4137700.0,
0001370637,ok,2567320.0,
0001373715,ok,3263700.0,
0001373835,ok,1769424.0,
0001374310,ok,3850614.0,
0001375365,ok,3602296.0,
0001378946,ok,5110353.0,
0001381197,ok,3043402.0,
0001383312,ok,3663198.0,
0001385157,ok,3935830.0,
0001385187,ok,1670018.0,
0001389170,ok,3883230.0,
0001390777,ok,7827785.0,
0001393052,ok,2860947.0,
0001393311,ok,3172557.0,
0001393818,ok,3505641.0,
0001396009,ok,5059198.0,
0001397187,ok,2926884.0,
0001402057,ok,3031026.0,
0001403161,ok,3564517.0,
0001403568,ok,2514554.0,
0001404912,ok,3075320.0,
0001408198,ok,4129490.0,
0001410636,ok,3883448.0,
0001413329,ok,4130821.0,
0001413447,ok,2693762.0,
0001415404,ok,4218339.0,
0001418091,ok,1884427.0,
0001418135,ok,5131878.0,
0001419612,ok,2793489.0,
0001430602,ok,2215724.0,
0001437107,ok,4907755.0,
0001442145,ok,4631368.0,
0001451505,ok,4123329.0,
0001452575,ok,1657187.0,
0001458891,ok,2580963.0,
0001463101,ok,3069157.0,
0001466258,ok,4362148.0,
0001467373,ok,4384918.0,
0001467858,ok,3606453.0,
0001474735,ok,3502700.0,
0001478242,ok,3160028.0,
0001489393,ok,3802383.0,
0001501585,ok,3011192.0,
0001506307,ok,3840097.0,
0001510295,ok,4256473.0,
0001512673,ok,2726025.0,
0001513761,ok,2696136.0,
0001518832,ok,2614781.0,
0001519751,ok,3389699.0,
0001521332,ok,4628363.0,
0001524472,ok,3946099.0,
0001526520,ok,3181544.0,
0001530721,ok,3332570.0,
0001534701,ok,3678031.0,
0001535527,ok,1964267.0,
0001539838,ok,3588068.0,
0001543151,ok,2126067.0,
0001545158,ok,649568.0,
0001546640,ok,617991.0,
0001551152,ok,3109380.0,
0001551182,ok,2931687.0,
0001552275,ok,2883024.0,
0001555280,ok,3534449.0,
0001559720,ok,1268110.0,
0001561550,ok,1576540.0,
0001564708,ok,3138981.0,
0001567892,ok,3564093.0,
0001571949,ok,3639629.0,
0001571996,ok,3493431.0,
0001579241,ok,2913178.0,
0001585364,ok,3951178.0,
0001585689,ok,3142726.0,
0001590895,ok,2742668.0,
0001590955,ok,2348695.0,
0001593034,ok,3237102.0,
0001593538,ok,3084662.0,
0001596532,ok,3011811.0,
0001596783,ok,3026369.0,
0001598014,ok,1356322.0,
0001601046,ok,3448856.0,
0001601712,ok,2762314.0,
0001604778,ok,2624201.0,
0001609711,ok,2340290.0,
0001613103,ok,3187859.0,
0001629995,ok,596581.0,
0001633917,ok,3016984.0,
0001633978,ok,3233495.0,
0001637459,ok,3417827.0,
0001645590,ok,3464853.0,
0001646383,ok,677990.0,
0001650107,ok,1417005.0,
0001650132,ok,2344262.0,
0001652044,ok,3164517.0,
